name,terminal,airside,gate,lat,lon,phone,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,cuisine,logo_url
Smoothie King,Terminal A,Airside,Gate A25,32.903633,-97.035924,,Smoothies; Healthy; Protein,Smoothie King is an American smoothie franchise offering a wide range of purpose-driven blended smoothies designed to help achieve specific health and fitness goals.,,,,,,OPEN — on official DFW Airport website,,,"Healthy, Desserts",https://img.logo.dev/smoothieking.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Twisted Root,Terminal A,Airside,Gate A24,32.903683,-97.035863,,Burger; American; Craft Beer; Milkshakes,A Dallas-based gourmet burger bar serving creative burgers with unconventional toppings and fresh-cut fries.,,,,,,OPEN — on official DFW Airport website,,,Burgers,https://img.logo.dev/twistedrootburgerco.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Whisk & Bowl,Terminal A,Airside,Gate A14,32.904679,-97.035876,,Kolaches; Breakfast; Coffee; Tea,"Whisk & Bowl is a café concept offering freshly prepared bowls, wraps, and handcrafted meals made with care and quality ingredients.",,,,,,OPEN — on official DFW Airport website,,,"Café, Healthy",
Auntie Anne's,Terminal B,Airside,Gate B29,32.906433,-97.044375,+1 (972) 574-2952,Pretzels; Desserts,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,OPEN — on official DFW Airport website,,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cousin's Back Porch,Terminal B,Airside,Gate B47,32.907023,-97.042306,,Barbecue; Pulled Pork; Brisket; Cajun; Casual Dine-In,"A casual Southern-style porch bar serving Texas comfort food, beers, and BBQ snacks.",,,,,,OPEN — on official DFW Airport website,,,American,
Cousin's Bar-B-Q,Terminal B,Airside,Gate B43,32.906997,-97.043183,,Barbecue; Pulled Pork; Brisket; Chicken; Casual Dine-In,"Cousin's Bar-B-Q is a Texas-based BBQ restaurant serving slow-smoked meats and classic BBQ sides, commonly found in airport food courts in the Dallas-Fort Worth area.",,,,,,OPEN — on official DFW Airport website,,,"Steak, Grill Chicken & BBQ",
Cousin's Bar-B-Q,Terminal B,Airside,Gate B12,32.903043,-97.04448,,Barbecue; Pulled Pork; Brisket; Chicken; Casual Dine-In,"Cousin's Bar-B-Q is a Texas-based BBQ restaurant serving slow-smoked meats and classic BBQ sides, commonly found in airport food courts in the Dallas-Fort Worth area.",,,,,,OPEN — on official DFW Airport website,,,"Steak, Grill Chicken & BBQ",
Hickory by Kent Rathbun,Terminal B,Airside,Gate B25,32.905207,-97.045066,,Barbecue; Brisket; Burgers; Breakfast; Ribs,"A chef-driven Texas BBQ restaurant from acclaimed Dallas chef Kent Rathbun, serving refined smoked meats, ribs, and Southern-inspired sides.",,,,,,OPEN — on official DFW Airport website,,,"American, Steak, Grill Chicken & BBQ",
McAlister's Deli,Terminal B,Airside,Gate B40,32.906537,-97.043917,,Deli; Sandwiches; Soup; Tea,"McAlister's Deli is an American fast-casual deli chain known for its overstuffed sandwiches, fresh-made salads, loaded baked potatoes, and Famous Sweet Tea.",,,,,,OPEN — on official DFW Airport website,,,Sandwiches & Deli,https://img.logo.dev/mcalistersdeli.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Panda Express,Terminal B,Airside,Gate B15,32.903805,-97.04493,,Asian; Chinese; Fried Rice; Orange Chicken; Egg Rolls,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",,,,,,OPEN — on official DFW Airport website,,,"American, Chinese, Asian",https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Smashburger,Terminal B,Airside,Gate B12,32.903078,-97.04458,,Burger; Shakes; Fries,"Smashburger is an American fast-casual burger chain famous for its smashing technique, pressing beef patties on a hot griddle for a crispy, caramelised crust.",,,,,,OPEN — on official DFW Airport website,,,Burgers,https://img.logo.dev/smashburger.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Subway,Terminal B,Airside,Gate B24,32.905228,-97.044927,,Sandwich/Deli; Salads; Grab & Go,"Subway is the world's largest submarine sandwich chain, offering customisable subs, wraps, and salads made to order on freshly baked bread with a wide choice of toppings.",,,,,,OPEN — on official DFW Airport website,,,Sandwiches & Deli,https://img.logo.dev/subway.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
TGI Fridays,Terminal B,Airside,Gate B9,32.902637,-97.043995,,Burger; Wings; Tex Mex; Sandwiches; Ribs; Salads; Kids Menu,"TGI Fridays is an American casual dining restaurant chain inspired by New York bar culture, serving burgers, ribs, cocktails, and American comfort food since 1965.",,,,,,OPEN — on official DFW Airport website,,,American,https://img.logo.dev/tgifridays.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Rodeo Bar,Terminal B,Airside,Gate B32,32.907215,-97.045096,,Bar,"A Texas-themed bar serving cocktails, whiskey, and beers in a rodeo-inspired atmosphere with Texas comfort snacks.",,,,,,OPEN — on official DFW Airport website,,,"Bar, American",https://img.logo.dev/therodeobarandgrilltx.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wingstop,Terminal B,Airside,Gate B28,32.906005,-97.0445,,Chicken Wings; Fries; American; Casual Dine-In,"Wingstop is an American restaurant chain dedicated entirely to chicken wings, offering them in a variety of flavours from Original Hot to Mango Habanero, with seasoned fries.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/wingstop.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal C,Airside,Gate C21,32.897126,-97.035707,+1 (972) 973-4796,Pretzels; Desserts,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,OPEN — on official DFW Airport website,,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Banh Shop,Terminal C,Airside,Gate C22,32.896971,-97.035819,,Sandwiches; Summer Rolls; Sushi; Teriyaki Bowl; Casual Dine-In,"Banh Shop is a fast-casual Vietnamese restaurant concept serving bánh mì sandwiches, pho, and Vietnamese street food in airport and urban settings.",,,,,,OPEN — on official DFW Airport website,,,"Vietnamese, Asian, Pan-Asian",https://img.logo.dev/banhshop.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Baskin-Robbins,Terminal C,Airside,Gate C17,32.897971,-97.035703,,Ice Cream; Desserts,"Baskin-Robbins is one of the world's largest ice cream specialty chains, renowned for its iconic 31 flavours concept and wide range of ice cream cakes and sundaes.",,,,,,OPEN — on official DFW Airport website,,,Desserts,https://img.logo.dev/baskinrobbins.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Boar's Head Deli,Terminal C,Airside,Gate C35,32.895245,-97.037566,,Sandwich/Deli; Cold Cuts; Fresh,A deli counter featuring premium Boar's Head meats and cheeses in fresh-made deli sandwiches and wraps.,,,,,,OPEN — on official DFW Airport website,,,Sandwiches & Deli,
Chick-fil-A,Terminal C,Airside,Gate C24,32.896799,-97.035841,,Fast Food; Fried Chicken; Biscuits; Fries; Breakfast,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chili's,Terminal C,Airside,Gate C35,32.895446,-97.037215,,Restaurant; Bar; Tex-Mex; Burger; Salads; Wings,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",,,,,,OPEN — on official DFW Airport website,,,American,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dickey's Barbecue Pit,Terminal C,Airside,Gate C6,32.899624,-97.037604,,Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In,"Dickey's Barbecue Pit is an American barbecue chain founded in Dallas in 1941, serving slow-smoked meats, ribs, and classic BBQ sides.",,,,,,OPEN — on official DFW Airport website,,,"Steak, Grill Chicken & BBQ",https://img.logo.dev/dickeysbarbecuepit.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Freshens,Terminal C,Airside,Gate C35,32.895273,-97.03754,,Smoothies; Frozen Yogurt; Healthy,"Freshens is an American smoothie and premium yogurt franchise found primarily in universities and food courts, serving blended beverages and healthy snack options.",,,,,,OPEN — on official DFW Airport website,,,"Healthy, Desserts",https://img.logo.dev/freshens.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Maggiano's,Terminal C,Airside,Gate C17,32.898211,-97.035848,,Italian/Pizza; Pasta; Salads; Sandwiches,"Maggiano's Little Italy is an American Italian restaurant chain offering classic Italian-American dishes, family-style platters, and private dining in a warm, nostalgic setting.",,,,,,OPEN — on official DFW Airport website,,,"Italian, American",https://img.logo.dev/maggianos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
McDonald's,Terminal C,Airside,Gate C22,32.897136,-97.035837,+1 (972) 574-3288,Fast Food; Burger; Fries; Breakfast; Coffee,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappadeaux,Terminal C,Airside,Gate C14,32.898928,-97.036009,,Seafood; Restaurant; Bar; Pasta; Lobster; Casual Dine-In,"Pappadeaux Seafood Kitchen is an American upscale Cajun seafood restaurant chain serving Louisiana-inspired dishes including crawfish étouffée, blackened fish, and fresh oysters.",,,,,,OPEN — on official DFW Airport website,,,"Seafood, American",https://img.logo.dev/pappadeaux.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappadeaux,Terminal C,Airside,Gate C14,32.898703,-97.036077,,Restaurant; Bar; Seafood; Pasta; Lobster; Casual Dine-In,"Pappadeaux Seafood Kitchen is an American upscale Cajun seafood restaurant chain serving Louisiana-inspired dishes including crawfish étouffée, blackened fish, and fresh oysters.",,,,,,OPEN — on official DFW Airport website,,,"Seafood, American",https://img.logo.dev/pappadeaux.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappasito's Cantina,Terminal C,Airside,Gate C19,32.897678,-97.035753,,Restaurant; Bar; Tex Mex; Fish Tacos; Nachos; Enchiladas; Casual Dine-In,"Pappasito's Cantina is an upscale American Tex-Mex restaurant chain from the Pappas family, serving premium fajitas, margaritas, and classic Mexican cuisine.",,,,,,OPEN — on official DFW Airport website,,,"Mexican, Latin American, American",https://img.logo.dev/pappasitos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pinkberry,Terminal C,Airside,Gate C22,32.896948,-97.03575,,Smoothies; Frozen Yogurt; Desserts,"Pinkberry is an American premium frozen yogurt chain known for its tart, natural frozen yogurt topped with fresh fruit, granola, and other premium toppings.",,,,,,OPEN — on official DFW Airport website,,,"Desserts, Healthy",https://img.logo.dev/pinkberry.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pizza Hut,Terminal C,Airside,Gate C22,32.896979,-97.035921,,Pizza; Italian; Buffalo Wings; Pasta; Grab & Go,"Pizza Hut is one of the world's largest pizza restaurant chains, serving pan pizzas, stuffed crusts, pasta, and sides across dine-in, delivery, and carry-out formats.",,,,,,OPEN — on official DFW Airport website,,,Pizza,https://img.logo.dev/pizzahut.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Shake Shack,Terminal C,Airside,Gate C6,32.899748,-97.037768,,Burger; Hot Dogs; Fries; Milkshake,"Shake Shack is an American fast-casual chain that began as a hot dog cart in NYC's Madison Square Park, now globally renowned for its ShackBurger, crinkle-cut fries, and hand-spun shakes.",,,,,,OPEN — on official DFW Airport website,,,Burgers,https://img.logo.dev/shakeshack.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
TGI Fridays,Terminal C,Airside,Gate C8,32.899598,-97.037063,+1 (972) 574-2728,American; Restaurant; Bar; Breakfast; Burger; Casual Dine-In,"TGI Fridays is an American casual dining restaurant chain inspired by New York bar culture, serving burgers, ribs, cocktails, and American comfort food since 1965.",,,,,,OPEN — on official DFW Airport website,,,American,https://img.logo.dev/tgifridays.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Whisk & Bowl,Terminal C,Airside,Gate C12,32.899115,-97.03616,,Kolaches; Breakfast; Coffee; Tea,"Whisk & Bowl is a café concept offering freshly prepared bowls, wraps, and handcrafted meals made with care and quality ingredients.",,,,,,OPEN — on official DFW Airport website,,,"Café, Healthy",
Applebee's,Terminal D,Airside,Gate D12,32.89592,-97.043893,,American; Restaurant; Bar; Breakfast; Steak; Casual Dine-In,"Applebee's is a leading American casual dining chain serving a broad menu of burgers, ribs, salads, and cocktails in a neighbourhood bar-and-grill atmosphere.",,,,,,OPEN — on official DFW Airport website,,,American,https://img.logo.dev/applebees.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Artisan Market,Terminal D,Airside,Gate D27,32.898906,-97.044694,,Sandwich/Deli; Paninis; Breakfast; Coffee; Grab & Go,"A gourmet market concept offering artisan sandwiches, local snacks, and specialty food products.",,,,,,OPEN — on official DFW Airport website,,,"Grab & Go, Sandwiches & Deli",https://img.logo.dev/artisanmkt.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal D,Airside,Gate D36,32.899261,-97.043425,,Pretzels; Desserts,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,OPEN — on official DFW Airport website,,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Banh Shop,Terminal D,Airside,Gate D10,32.89567,-97.043596,,Sandwiches; Summer Rolls; Sushi; Teriyaki Bowl; Casual Dine-In,"Banh Shop is a fast-casual Vietnamese restaurant concept serving bánh mì sandwiches, pho, and Vietnamese street food in airport and urban settings.",,,,,,OPEN — on official DFW Airport website,,,"Vietnamese, Asian, Pan-Asian",https://img.logo.dev/banhshop.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bar Louie,Terminal D,Airside,Gate D22,32.897093,-97.044785,,Bar; Flatbreads; Wings; Sandwiches; Burgers; Breakfast,"Bar Louie is an American neighbourhood gastrobar chain offering craft cocktails, local beers, and a menu of elevated bar bites and shareable plates.",,,,,,OPEN — on official DFW Airport website,,,"Bar, American",https://img.logo.dev/barlouie.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Brewed,Terminal D,Airside,Gate D25,32.898714,-97.044725,,American; Soup; Waffles; Breakfast; Burger; Sandwich,A coffee and craft beer bar serving specialty coffee drinks in the morning and craft beers in the afternoon and evening.,,,,,,OPEN — on official DFW Airport website,,,"Café, Bar",
Cake Bar,Terminal D,Airside,Gate D2,32.893679,-97.041821,,Cake; Desserts; Red Velvet; German Chocolate; Carrot Cake,"A Dallas-based bakery serving elaborately decorated cakes, cupcakes, and dessert bars.",,,,,,OPEN — on official DFW Airport website,,,"Bakery, Desserts",https://img.logo.dev/cakebardallas.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chick-fil-A,Terminal D,Airside,Gate D18,32.896233,-97.044555,,Chicken; Fast Food; Breakfast; Salads; Kids Menu,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CRU Food & Wine Bar,Terminal D,Airside,Gate D27,32.898818,-97.044758,,Wine; Fine Dining; Paninis; Charcuterie; Cheese; Pizza,"A wine bar serving over 50 wines by the glass alongside cheese boards, charcuterie, and small plates.",,,,,,OPEN — on official DFW Airport website,,,Bar,
Dickey's Barbecue Pit,Terminal D,Airside,Gate D27,32.898997,-97.044756,,Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In,"Dickey's Barbecue Pit is an American barbecue chain founded in Dallas in 1941, serving slow-smoked meats, ribs, and classic BBQ sides.",,,,,,OPEN — on official DFW Airport website,,,"Steak, Grill Chicken & BBQ",https://img.logo.dev/dickeysbarbecuepit.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Flying Saucer Draught Emporium,Terminal D,Airside,Gate D20,32.896392,-97.044732,+1 (972) 973-4228,Restaurant; Bar; Pub Fare; Fish & Chips; Sandwiches; Salads,"A draught beer bar with a rotating selection of over 100 beers, mostly craft, alongside casual bar food.",,,,,,OPEN — on official DFW Airport website,,,Bar,
Hickory,Terminal D,Airside,Gate D22,32.897355,-97.044784,,Barbecue; Bar; Brisket; Burgers; Salad,"A Texas BBQ and grill concept serving hickory-smoked meats, burgers, and hearty American comfort food.",,,,,,OPEN — on official DFW Airport website,,,"American, Steak, Grill Chicken & BBQ",https://img.logo.dev/hickoryfarms.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
McDonald's,Terminal D,Airside,Gate D33,32.899226,-97.04414,,Fast Food; Burger; Fries; Breakfast; Coffee,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Subway,Terminal D,Airside,Gate D18,32.896278,-97.04476,,Sandwich/Deli; Salads; Grab & Go,"Subway is the world's largest submarine sandwich chain, offering customisable subs, wraps, and salads made to order on freshly baked bread with a wide choice of toppings.",,,,,,OPEN — on official DFW Airport website,,,Sandwiches & Deli,https://img.logo.dev/subway.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Italian Kitchen by Wolfgang Puck,Terminal D,Airside,Gate D34,32.899085,-97.043899,,Italian/Pizza; Wine; Antipasti; Restaurant; Pasta; Tiramisu,"A casual Italian restaurant concept from celebrity chef Wolfgang Puck, serving pizzas, pastas, and Italian classics.",,,,,,OPEN — on official DFW Airport website,,,Italian,
Trinity Groves Food Lockers,Terminal D,Airside,Gate D1,32.893031,-97.041774,,Burger; Salads; Tacos; Pizza; Grab & Go; Coffee; Cake,A food hall concept featuring multiple independent Dallas restaurants offering diverse cuisine options in a communal setting.,,,,,,OPEN — on official DFW Airport website,,,Grab & Go,
Trinity Groves Kitchen & Bar,Terminal D,Airside,Gate D2,32.893483,-97.041965,,Restaurant; Bar; Mexican; Pizza; Burger; Breakfast,A full-service kitchen and bar featuring Dallas-area chef concepts with an eclectic American and global menu.,,,,,,OPEN — on official DFW Airport website,,,American,
TX/MX,Terminal D,Airside,Gate D31,32.899228,-97.044519,,Tex Mex; Tacos; Margaritas; Breakfast; Burrito,"A Texas-Mexican fusion restaurant serving Tex-Mex staples including nachos, fajitas, and breakfast tacos with Texas craft beers.",,,,,,OPEN — on official DFW Airport website,,,"American, Mexican, Latin American",
Whataburger,Terminal D,Airside,Gate D12,32.896027,-97.044383,,Burger; Fast Food; Fries; Milkshake; American,"Whataburger is an American regional fast food chain from Texas known for its large, made-to-order burgers, Whataburger sauce, and 24/7 service.",,,,,,OPEN — on official DFW Airport website,,,Fast Food,https://img.logo.dev/whataburger.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
2.0 Taco & Tequila Bar,Terminal E,Airside,Gate E31,32.888557,-97.036384,,Mexican; Bar; Breakfast; Tacos,"A Tex-Mex taco bar serving creative tacos, enchiladas, and an extensive tequila and margarita menu.",,,,,,OPEN — on official DFW Airport website,,,"Mexican, Latin American",https://img.logo.dev/20tacotequilabar.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal E,Airside,Gate E5,32.892649,-97.037577,,Pretzels; Desserts,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,OPEN — on official DFW Airport website,,,Bakery,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chick-fil-A,Terminal E,Airside,Gate E6,32.892538,-97.037576,,Chicken; Fast Food; Breakfast; Salads; Kids Menu,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,OPEN — on official DFW Airport website,,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dickey's Barbecue Pit,Terminal E,Airside,Gate E27,32.887936,-97.03431,,Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In,"Dickey's Barbecue Pit is an American barbecue chain founded in Dallas in 1941, serving slow-smoked meats, ribs, and classic BBQ sides.",,,,,,OPEN — on official DFW Airport website,,,"Steak, Grill Chicken & BBQ",https://img.logo.dev/dickeysbarbecuepit.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
