name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Dubh Express - Gate 417,Terminal 2,Airside,"Café, Grab & Go",,,,,05:00–17:30,,yes,Fresh coffee,"A quick-service express version of the Dubh bar concept, serving drinks and snacks near the gates.", breakfast, pastries and grab-and-go items at Gate 417.,Bar,
Fitzgeralds,Terminal 2,Landside,"Restaurant, Irish",,,,,04:00–19:30,,,,"A traditional Irish-style pub and restaurant serving Guinness, Irish stout, pub grub, and classic Irish comfort food.", locally sourced ingredients.,OPEN — on official DUB website,Bar,https://img.logo.dev/fitzgeraldsbh.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Food Village,Terminal 1,Landside,"Restaurant, Cafeteria",,,,,05:00–17:00,,,,A food hall and market concept offering a variety of Irish and international food options in a communal dining space., drinks, salads,Grab & Go,https://img.logo.dev/foodvillage.ie?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Fruitality,Terminal 2,Airside,"Café, Healthy",,,,,04:00–20:30,,yes,Juice and smoothie bar with acai bowls,"A smoothie and juice bar serving blended fruit smoothies, acai bowls, and healthy fresh drinks.", sandwiches and health-focused bites.,OPEN — on official DUB website,Healthy,
Insomnia,Terminal 1,Landside,"Coffee, Café",,,,,24HR,,,,"Insomnia is Ireland's largest indigenous coffee chain, offering handcrafted espresso drinks, teas, freshly made sandwiches, and baked goods across hundreds of locations.",OPEN — on official DUB website,,Café,https://img.logo.dev/insomnia.ie?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jump Juice,Terminal 1,Airside,"Café, Smoothies, Ice Cream",,,,,04:00–20:00,,,,"A juice bar offering freshly pressed fruit and vegetable juices, smoothies, and light healthy snacks.", smoothies and frozen yogurt to satisfy your sweet tooth.,OPEN — on official DUB website,Healthy,https://img.logo.dev/jumpjuicebar.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Kimbok,Terminal 1,Airside,"Restaurant, Korean",,,,,04:00–21:00,,,,"A Korean-inspired restaurant serving Korean fried chicken burgers, kimchi-loaded fries, and Korean-flavored snacks.", all-day lunch, hot dishes and Korean-inspired drinks.,"Korean, Asian",
Lilian's,Terminal 1,Airside,Restaurant,,,,,05:00–20:00,,,,"An all-day restaurant and bar named after Irish aviation pioneer Lilian Bland, serving Irish comfort food, brunch items, and a full drinks menu.",OPEN — on official DUB website,,Bar,
Marqette,Terminal 1,Airside,"Market, Food Market",,,,,24HR,,yes,Bustling food market with self-service salads,A casual restaurant and bar serving contemporary Irish food and international dishes in a relaxed setting., soup and a full bar.,OPEN — on official DUB website,"Bar, International",https://img.logo.dev/marqette.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Moo Parlour,Terminal 2,Landside,"Ice Cream, Dessert",,,,,04:00–22:00,,,,An artisan ice cream parlour serving handcrafted Irish dairy ice cream in classic and seasonal flavors.,OPEN — on official DUB website,,Desserts,
Nineteen40,Terminal 1,Airside,"Café, Bar, Grab & Go",,,,,First flight–Last flight,,yes,Grab-and-go style café bar with baked goods,"An Irish pub and bar with a vintage-inspired atmosphere, serving craft Irish beers, whiskeys, and classic pub food.", salads and drinks.,OPEN — on official DUB website,Bar,
Nomad,Terminal 1,Airside,"Restaurant, Café",,,,,04:00–19:30,,,,"A casual international cafe serving globally inspired dishes, coffee, and light bites for travelers.",OPEN — on official DUB website,,"Café, International",
Papa John's,Terminal 2,Landside,"Fast Food, Pizza",,,,,04:00–22:00,,,,"Papa John's is a major American pizza chain known for its 'Better Ingredients, Better Pizza' philosophy, fresh dough, and signature garlic butter dipping sauce.", better pizza — freshly baked pizzas with a range of toppings.,OPEN — on official DUB website,Pizza,https://img.logo.dev/papajohns.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Phoenix Lane Express - Gate 114,Terminal 1,Airside,Café,,,,,04:00–16:30,,,,A quick-service express bar and snack kiosk for last-minute travelers near Gate 114., freshly baked pastries and delicious sandwiches at Gate 114.,OPEN — on official DUB website,"Bar, International",
Phoenix Lane Express - Gate 336,Terminal 2,Airside,"Café, Grab & Go",,,,,24HR,,yes,Self-service hot beverages,An express bar and snack counter serving drinks and light bites near Gate 336.,OPEN — on official DUB website,,"Bar, International",
Phoenix Lane - Gate 424,Terminal 2,Airside,Café,,,,,First flight–Last flight,,,,A casual bar and dining outlet serving Irish and international food alongside beers and cocktails near the south gates., sandwiches, salads and chilled drinks at Gate 424.,"Bar, International",
Phoenix Lane - South Gates,Terminal 2,Airside,Café,,,,,First flight–Last flight,,,,"A bar and food outlet at the south gates area, serving pub food and drinks before departure.", sandwiches, salads and chilled drinks at the South Gates.,"Bar, International",
Pret A Manger,Terminal 1,Airside,"Café, Grab & Go",,,,,04:00–22:00,,yes,Freshly-made sandwiches,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.", organic coffee and more ready for your journey.,OPEN — on official DUB website,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Roasted Notes,Terminal 2,Landside,"Café, Bakery",,,,,04:00–23:00,,,,"A specialty coffee bar serving carefully roasted espresso drinks, filter coffees, and light cafe snacks.", pastries, signature sandwiches and toasties.,Café,https://img.logo.dev/roastednotes.ie?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Ryan's,Terminal 2,Airside,"Bar, Irish Pub",,,,,04:00–21:00,,,,"A classic Irish pub bar serving Guinness, Irish stout, whiskeys, and traditional pub snacks.", a classic toastie and homemade bar food.,OPEN — on official DUB website,Bar,
San Marco,Terminal 1,Airside,"Restaurant, Italian",,,,,05:00–20:00,,,,"An Italian-style cafe serving espresso, pizza slices, panini, and light Italian snacks.", beers and classic dishes.,OPEN — on official DUB website,"Café, Italian",
Starbucks,Terminal 1,Landside,"Coffee, Café",,,,,04:00–18:00,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas and pastries before security.,OPEN — on official DUB website,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 2,Airside,"Coffee, Café",,,,,04:00–18:00,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 2,Airside,"Coffee, Café",,,,,First flight–Last flight,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",OPEN — on official DUB website,,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Street Kitchen,Terminal 1,Airside,"Restaurant, Mexican",,,,,05:00–21:00,,,,A street food-style kitchen serving international street food dishes and hot casual meals., rice bowls and tacos over cocktails.,OPEN — on official DUB website,Fast Food,https://img.logo.dev/street-kitchen.de?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Supermac's,Terminal 2,Landside,Fast Food,,,,,04:00–22:00,,,,"Supermac's is Ireland's largest indigenous fast food chain, serving burgers, chicken, and traditional Irish comfort food at value prices since 1978.", chicken and chips.,OPEN — on official DUB website,Fast Food,https://img.logo.dev/supermacs.ie?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
SuperSubs,Terminal 2,Landside,"Fast Food, Sandwiches",,,,,04:00–22:00,,yes,Made-to-order subs,A sub sandwich counter serving freshly made foot-long sandwiches with a variety of fillings and toppings.,OPEN — on official DUB website,,Sandwiches & Deli,
Tap & Brew,Terminal 1,Airside,"Bar, Pub",,,,,05:00–22:00,,,,A craft beer and coffee hybrid bar serving rotating craft beers on tap alongside specialty espresso drinks., gourmet hot dogs, loaded nachos and cocktails.,"Bar, Café",
The Fallow Kitchen & Bar,Terminal 2,Airside,"Restaurant, Bar",,,,,04:00–20:30,,,,A modern Irish kitchen and bar serving seasonal Irish ingredients in contemporary dishes alongside cocktails and local beers., lunch and dinner classics using quality Irish ingredients.,OPEN — on official DUB website,Bar,
The Garden Terrace,Terminal 1,Airside,"Restaurant, Bar, Café",,,,,04:00–21:00,,,,"A light and airy cafe and restaurant serving fresh salads, sandwiches, and hot meals with a garden-inspired atmosphere.", café and grill with table service alongside an outdoor terrace.,OPEN — on official DUB website,Café,
The Gate Clock,Terminal 1,Airside,"Bar, Café",,,,,First flight–Last flight,,,,"A bar and cafe near the departure gates serving Irish beers, coffees, and quick snacks for outbound travelers.", snacks and sandwiches in a warmly styled departure gate venue.,OPEN — on official DUB website,Bar,
The Mezz,Terminal 2,Airside,"Restaurant, Food Court",,,,,05:00–20:00,,,,"A mezzanine-level bar and restaurant serving casual Irish food, pub staples, and drinks in a relaxed upstairs setting.", Handsome Burger, Ancho Hancho and Erin's Kitchen.,"Bar, International",
The Reserve,Terminal 2,Airside,"Bar, Wine Bar",,,,,"Mon–Wed 05:00–19:00, Thu–Sun 04:30–19:00",,,,A premium whiskey bar showcasing an extensive selection of Irish and international whiskies with light bar bites.,OPEN — on official DUB website,,Bar,
Upper Crust,Terminal 1,Landside,"Fast Food, Sandwiches",,,,,06:00–00:00,,yes,Wide variety of hand-filled baguette sandwiches,"Upper Crust is a British airport sandwich and food chain specialising in freshly filled baguettes, pastries, and hot drinks, found across UK and international airports.", coffee and cold drinks.,OPEN — on official DUB website,Sandwiches & Deli,https://img.logo.dev/uppercrust.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Whiskey Bread,Terminal 2,Airside,"Bar, Whiskey Bar",,,,,First flight–Last flight,,,,"A bakery and whiskey-themed cafe serving Irish soda bread, freshly baked goods, and Irish whiskey-paired snacks.",OPEN — on official DUB website,,Bakery,
