name,terminal,concourse,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Popeyes,Terminal 1,Concourse C,Airside,C23,Near Gate C23 • After Security,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Popeyes is an American fast food chain founded in New Orleans, famous for its Louisiana-style Cajun-spiced fried chicken, buttermilk biscuits, and bold Cajun flavours.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/popeyes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wendy's,Terminal 1,Concourse C,Airside,C23,Near Gate C23 • After Security,,,"Fast Food, Burgers",,"Wendy's is an American international fast food chain known for its square, fresh, never-frozen beef burgers, the iconic Frosty dessert, and made-to-order menu served since 1969.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/wendys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Fresh Market On The Go,Terminal 1,Concourse C,Airside,C23,Near Gate C23 • After Security,,,"Café, Grab & Go",,"Fresh Market On The Go is a convenience food market in airport terminals offering fresh meals, snacks, and beverages for departing passengers.",,,,,,,OPEN — on official Harry Reid Airport website,,
Jersey Mike's,Terminal 1,Concourse C,Airside,C22,Near Gate C22 • After Security,,,Sandwiches & Deli,,"Jersey Mike's is an American sub sandwich chain known for its fresh-sliced, authentic East Coast-style subs served 'Mike's Way' with oil, vinegar, and seasonings.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/jerseymikes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Nathan's Famous,Terminal 1,Concourse C,Airside,C22,Near Gate C22 • After Security,,,"Fast Food, American",,"Nathan's Famous is an iconic American hot dog brand founded in 1916 on Coney Island, New York, home of the world-famous Fourth of July Hot Dog Eating Contest.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/nathansfamous.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Lucky Streak Cocktail Lounge,Terminal 1,Concourse C,Airside,C22,Near Gate C22 • After Security,,,Bar,,A Vegas-themed cocktail lounge serving signature casino-inspired cocktails and light bites.,,,,,,,OPEN — on official Harry Reid Airport website,,
Corcoran's,Terminal 1,Concourse C,Airside,C2,Near Gate C2 • After Security,,,Bar,,"Corcoran's is an Irish pub chain found primarily in international airports and travel hubs, offering a traditional pub atmosphere with Irish beers and classic pub fare.",,,,,,,OPEN — on official Harry Reid Airport website,,
Quiznos,Terminal 1,Concourse C,Airside,C18,Near Gate C18 • After Security,,,Sandwiches & Deli,,"Quiznos is an American fast-food sandwich chain known for its toasted sub sandwiches made with premium meats, cheeses, and signature sauces melted in a conveyor oven.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/quiznos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chick-fil-A,Terminal 1,Concourse C,Airside,C16,Near Gate C16 • After Security,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 1,Concourse C,Airside,C15,Near Gate C15 • After Security,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Margaritaville,Terminal 1,Concourse C,Airside,C14,Near Gate C14 • After Security,,,"American, Latin American",,"Margaritaville is an American themed restaurant and bar chain inspired by Jimmy Buffett's iconic song, serving tropical cocktails, seafood, and casual coastal fare.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/margaritaville.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Poke Poke,Terminal 1,Concourse C,Airside,C14,Near Gate C14 • After Security,,,"Healthy, Seafood",,"A Hawaiian-inspired poke bowl restaurant serving customizable bowls with fresh raw fish, rice, and various toppings.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/pokepokechi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal 1,Concourse C,Airside,C10,Near Gate C10 • After Security,,,"Café, Bakery",,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Subway,Terminal 1,Concourse C,Airside,C10,Near Gate C10 • After Security,,,Sandwiches & Deli,,"Subway is the world's largest submarine sandwich chain, offering customisable subs, wraps, and salads made to order on freshly baked bread with a wide choice of toppings.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/subway.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Hudson News,Terminal 1,Concourse C,Airside,C10,Near Gate C10 • After Security,,,Grab & Go,,"Hudson News is an American airport and travel hub news and specialty retail chain offering books, magazines, snacks, beverages, and travel essentials to passengers.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/hudsonnews.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Koi Kitchen,Terminal 1,Concourse C,Airside,C9,Near Gate C9 • After Security,,,Asian,,"A pan-Asian kitchen serving sushi, Japanese, and Chinese-inspired dishes including rice bowls and noodle plates.",,,,,,,OPEN — on official Harry Reid Airport website,,
Shake Shack,Terminal 1,Concourse C,Airside,C7,Near Gate C7 • After Security,,,Burgers,,"Shake Shack is an American fast-casual chain that began as a hot dog cart in NYC's Madison Square Park, now globally renowned for its ShackBurger, crinkle-cut fries, and hand-spun shakes.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/shakeshack.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal 1,Concourse C,Airside,C21,Near Gate C21 • After Security,,,Bakery,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Tequileria Grille,Terminal 1,Concourse C,Airside,C5,Near Gate C5 • After Security,,,"Mexican, Latin American",,"A Mexican grill and tequila bar serving tacos, burritos, quesadillas, and a full tequila menu.",,,,,,,OPEN — on official Harry Reid Airport website,,
Jose Cuervo Tequileria,Terminal 1,Concourse C,Airside,C5,Near Gate C5 • After Security,,,Bar,,"A Jose Cuervo-branded tequila bar serving margaritas, tequila shots, and Mexican-inspired bar snacks.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/josecuervo.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Vegas Baby Bar,Terminal 1,Concourse C,Airside,C5,Near Gate C5 • After Security,,,Bar,,"A Vegas-themed airport bar serving cocktails, beers, and light snacks with casino-inspired decor.",,,,,,,OPEN — on official Harry Reid Airport website,,
BRB Boba Tea,Terminal 1,,Landside,,24/7 open,,,Café,,A boba tea bar serving bubble tea drinks with tapioca pearls and other Asian-style tea beverages.,,,,,,,OPEN — on official Harry Reid Airport website,,
Esplanade Bar,Terminal 1,,Landside,,Near Esplanade • Before Security,,,Bar,,"A bar in the main concourse serving a full range of cocktails, beers, and light refreshments.",,,,,,,OPEN — on official Harry Reid Airport website,,
Modelo Cantina,Terminal 3,Concourse D,Airside,D7,Near Gate D7 • After Security,,,"Mexican, Latin American",,"A Mexican-American cantina branded with Modelo beer, serving Mexican food, margaritas, and ice-cold Modelo cervezas.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/modelobeer.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal 3,Concourse D,Airside,D6,Near Gate D6 • After Security,,,"Café, Bakery",,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Rachel's Kitchen,Terminal 3,Concourse D,Airside,D6,Near Gate D6 • After Security,,,"Café, American",,"A Las Vegas-based cafe and fast-casual restaurant serving fresh salads, sandwiches, soups, and breakfast items.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/rachelskitchen.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Burger King,Terminal 3,Concourse D,Airside,D6,Near Gate D6 • After Security,,,Fast Food,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy.,,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sammy's Woodfired Pizza,Terminal 3,Concourse D,Airside,D6,Near Gate D6 • After Security,,,Pizza,,"A pizza restaurant from the Sammy's concept, serving wood-fired pizzas with fresh toppings.",,,,,,,OPEN — on official Harry Reid Airport website,,
Port of Subs,Terminal 3,Concourse D,Airside,D4,Near Gate D4 • After Security,,,Sandwiches & Deli,,"Port of Subs is an American sub sandwich chain founded in Reno, Nevada, offering fresh-sliced deli subs and wraps made to order.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/portofsubs.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wolfgang Puck Express,Terminal 3,Concourse D,Airside,D17,Near Gate D17 • After Security,,,"American, International",,"Wolfgang Puck Express is a celebrity chef airport restaurant concept serving quality casual fare including artisan pizzas, salads, soups, and sandwiches.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/wolfgangpuck.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 3,Concourse D,Airside,D36,Near Gate D36 • After Security,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chili's,Terminal 3,Concourse D,Airside,D35,Near Gate D35 • After Security,,,American,,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dave's Hot Chicken,Terminal 3,Concourse D,Airside,D36,Near Gate D36 • After Security,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Dave's Hot Chicken is a fast-casual chain specialising in Nashville-style hot chicken tenders and sliders available in seven heat levels, from No Spice to Reaper.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/daveshotchicken.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Metro Pizza,Terminal 3,Concourse D,Airside,D36,Near Gate D36 • After Security,,,Pizza,,A Las Vegas-based pizza institution known for their New York-style thin-crust pizza and classic American pizza toppings.,,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/metropizza.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Quiznos,Terminal 3,Concourse D,Airside,D34,Near Gate D34 • After Security,,,Sandwiches & Deli,,"Quiznos is an American fast-food sandwich chain known for its toasted sub sandwiches made with premium meats, cheeses, and signature sauces melted in a conveyor oven.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/quiznos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal 3,Concourse D,Airside,D26,Near Gate D26 • After Security,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dunkin',Terminal 3,Concourse D,Airside,D26,Near Gate D26 • After Security,,,"Café, Bakery",,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jamba Juice,Terminal 3,Concourse D,Airside,,Near D-Gates-Great Hall • After Security,,,"Healthy, Desserts",,"Jamba is an American smoothie and juice chain offering a wide range of blended fruit and vegetable smoothies, freshly squeezed juices, and health-boosting bowls.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/jamba.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Great American Bagel Bakery,Terminal 3,Concourse D,Airside,,Near D-Gates-Great Hall • After Security,,,"Sandwiches & Deli, Bakery",,"A bagel bakery serving freshly baked New York-style bagels with a range of cream cheese, deli spreads, and toppings.",,,,,,,OPEN — on official Harry Reid Airport website,,
Espresso Urbano by Sambalatte,Terminal 3,,Landside,,Near T3 Baggage Claim • Before Security,,,Café,,"A Las Vegas specialty coffee brand serving artisan espresso drinks, cold brew, and light pastries.",,,,,,,OPEN — on official Harry Reid Airport website,,
LAS MKT,Terminal 1,Concourse C,Airside,C7,Near Gate C7 • After Security,,,Grab & Go,,A market-style food hall offering diverse food options from multiple Las Vegas-inspired vendors.,,,,,,,OPEN — on official Harry Reid Airport website,,
Crafted Bar,Terminal 1,Concourse C,Airside,C7,Near Gate C7 • After Security,,,Bar,,"Crafted Bar is an airport or travel hub craft cocktail and beer bar offering a curated selection of spirits, wines, and mixed drinks.",,,,,,,OPEN — on official Harry Reid Airport website,,
Fresh Attractions,Terminal 1,Concourse C,Airside,C3,Near Gate C3 • After Security,,,"Café, Grab & Go",,"Fresh Attractions is an airport food concept offering freshly prepared, attractively presented meals and snacks for travellers.",,,,,,,OPEN — on official Harry Reid Airport website,,
PGA Tour Grill,Terminal 1,Concourse B,Airside,B17,Near Gate B17 • After Security,,,"Bar, American",,"A golf-themed bar and grill serving American comfort food including burgers, sandwiches, and appetizers alongside draft beer.",,,,,,,OPEN — on official Harry Reid Airport website,,
PGA TO GO,Terminal 1,Concourse B,Airside,B17,Near Gate B17 • After Security,,,Grab & Go,,"A PGA Tour-branded grab-and-go market offering packaged snacks, beverages, and golf merchandise.",,,,,,,OPEN — on official Harry Reid Airport website,,
Hudson News,Terminal 1,Concourse A,Airside,A10,Near Gate A10 • After Security,,,Grab & Go,,"Hudson News is an American airport and travel hub news and specialty retail chain offering books, magazines, snacks, beverages, and travel essentials to passengers.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/hudsonnews.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Gaming Lounge,Terminal 1,Concourse B,Airside,B15,Near Gate B15 • After Security,,,Bar,,"A combined gaming and bar lounge offering slot machines alongside cocktails, beers, and light snacks.",,,,,,,OPEN — on official Harry Reid Airport website,,
Hudson News,Terminal 1,Concourse B,Airside,B9,Near Gate B9 • After Security,,,Grab & Go,,"Hudson News is an American airport and travel hub news and specialty retail chain offering books, magazines, snacks, beverages, and travel essentials to passengers.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/hudsonnews.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Fresh Market On The Go,Terminal 1,Concourse C,Airside,C21,Near Gate C21 • After Security,,,"Café, Grab & Go",,"Fresh Market On The Go is a convenience food market in airport terminals offering fresh meals, snacks, and beverages for departing passengers.",,,,,,,OPEN — on official Harry Reid Airport website,,
Chili's,Terminal 1,Concourse C,Airside,C19,Near Gate C19 • After Security,,,American,,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",,,,,,,OPEN — on official Harry Reid Airport website,,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Full Bar,Terminal 1,,Landside,,Near Check-In • Before Security,,,Bar,,"Full Bar is a full-service airport bar offering a wide selection of cocktails, spirits, wines, and beers for travellers.",,,,,,,OPEN — on official Harry Reid Airport website,,
Crafted Bar,Terminal 1,,Landside,,Before Security,,,Bar,,"Crafted Bar is an airport or travel hub craft cocktail and beer bar offering a curated selection of spirits, wines, and mixed drinks.",,,,,,,OPEN — on official Harry Reid Airport website,,
Full Bar,Terminal 3,,Landside,,Near Check-In • Before Security,,,Bar,,"Full Bar is a full-service airport bar offering a wide selection of cocktails, spirits, wines, and beers for travellers.",,,,,,,OPEN — on official Harry Reid Airport website,,
Vending Machine - M&Ms,Terminal 1,,Landside,,24/7 open,,,Grab & Go,,An M&Ms-branded vending machine dispensing M&M chocolates and snack-size candy products.,,,,,,,OPEN — on official Harry Reid Airport website,,
