name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Brew'd,Terminal 3,Airside,"Bar, Coffee",,,,,,,,,Brew'd is a craft beer bar concept found in airports and travel hubs serving a rotating selection of draught and bottled craft beers.,OPEN — on official MAN website,,Bar,
Costa Coffee,Terminal 3,Airside,Coffee,,,,,,,,,"Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",OPEN — on official MAN website,,Café,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
KFC,Terminal 3,Airside,Fast Food,,,,,,,,,"KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",OPEN — on official MAN website,,"Fast Food, Steak, Grill Chicken & BBQ",https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pret A Manger,Terminal 3,Airside,"Coffee, Fast Food",,,,,,,,,"Pret A Manger is a British-born multinational sandwich and café chain known for its freshly made, handcrafted sandwiches, salads, and organic coffees.",OPEN — on official MAN website,,"Sandwiches & Deli, Café",https://img.logo.dev/pret.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sporting Chance,Terminal 3,Airside,Bar,,,,,,,,,"A sports bar celebrating Manchester football and British sports culture, serving beers and pub food.",OPEN — on official MAN website,,Bar,
The Nook,Terminal 3,Airside,Bar,,,,,,,,,"A cozy bar and snack spot serving coffee, teas, light bites, and drinks for travelers looking for a quiet corner.",OPEN — on official MAN website,,"Café, Bar",
Escape Lounge,Lounges,Airside,Lounge,,,,,,,,,"An independent airport lounge offering complimentary food, alcoholic drinks, and comfortable seating for all travelers.",OPEN — verified,,Bar,https://img.logo.dev/escapelounges.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Escape Lounge (T3),Lounges,Airside,Lounge,,,,,,,,,"The Terminal 3 Escape Lounge, providing food, drinks, and lounge facilities to all travelers with access.",OPEN — verified,,Bar,
1903 Lounge,Lounges,Airside,Lounge,,,,,,,,,"A premium Manchester Airport lounge named after the city's 1903 heritage, offering complimentary food, drinks, and relaxation facilities.",OPEN — verified,,Bar,
1903 Lounge (T3),Lounges,Airside,Lounge,,,,,,,,,"The Terminal 3 location of Manchester's 1903 Lounge, providing food, beverages, and lounge amenities.",OPEN — verified,,Bar,
