name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id,cuisine,logo_url
Burger King,Main Terminal,Airside,Fast Food,,,,,,Gates B,,,Burger King is a global American fast food chain best known for the flame-grilled Whopper burger and its 'Have It Your Way' customisation philosophy., fries and drinks in the Gates B area.,OPEN — on official BRU website,Fast Food,https://img.logo.dev/bk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Main Terminal,Airside,"Coffee, Café",,,,,,Gates A,,yes,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Main Terminal,Airside,"Coffee, Café",,,,,,Gates B,,yes,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Main Terminal,Landside,"Coffee, Café",,,,,,Departure Hall,,yes,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks before security.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Main Terminal,Airside,"Coffee, Café",,,,,,Gates T,,yes,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.", teas, sandwiches and snacks.,Café,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Panos,Main Terminal,Airside,"Coffee, Café, Bakery",,,,,,Gates A,,yes,"Panos is a Belgian fast food chain known for its freshly made sandwiches on artisan bread, soups, and salads, widely found in Belgian airports and stations.", salads, sandwiches and vegan options.,"Sandwiches & Deli, European",
Panos,Main Terminal,Airside,"Coffee, Café, Bakery",,,,,,Gates A,,yes,"Panos is a Belgian fast food chain known for its freshly made sandwiches on artisan bread, soups, and salads, widely found in Belgian airports and stations.", salads, sandwiches and vegan options.,"Sandwiches & Deli, European",
Panos,Main Terminal,Landside,"Coffee, Café, Bakery",,,,,,Departure Hall,,yes,"Panos is a Belgian fast food chain known for its freshly made sandwiches on artisan bread, soups, and salads, widely found in Belgian airports and stations.", salads and sandwiches.,OPEN — on official BRU website,"Sandwiches & Deli, European",
Quick,Main Terminal,Airside,"Fast Food, Belgian",,,,,,Gates A,,,"Quick is a Belgian and French fast food chain founded in 1971, serving burgers, sandwiches, and french fries, now primarily operating in airports and international locations.",OPEN — on official BRU website,,Fast Food,https://img.logo.dev/quick.be?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Quick,Main Terminal,Landside,"Fast Food, Belgian",,,,,,Arrival Hall,,,"Quick is a Belgian and French fast food chain founded in 1971, serving burgers, sandwiches, and french fries, now primarily operating in airports and international locations.",OPEN — on official BRU website,,Fast Food,https://img.logo.dev/quick.be?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Exki,Main Terminal,Airside,"Café, Healthy, Belgian",,,,,,Gates A,,yes,"Exki is a Belgian healthy fast food chain offering natural, fresh, and organic meals, salads, soups, and snacks, with a strong presence in airports and urban locations.", sandwiches, smoothies and vegan options.,"Healthy, Fast Food",https://img.logo.dev/exki.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Exki,Main Terminal,Airside,"Café, Healthy, Belgian",,,,,,Gates B,,yes,"Exki is a Belgian healthy fast food chain offering natural, fresh, and organic meals, salads, soups, and snacks, with a strong presence in airports and urban locations.", sandwiches, smoothies and vegan options.,"Healthy, Fast Food",https://img.logo.dev/exki.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Exki,Main Terminal,Landside,"Café, Healthy, Belgian",,,,,,Departure Hall,,yes,"Exki is a Belgian healthy fast food chain offering natural, fresh, and organic meals, salads, soups, and snacks, with a strong presence in airports and urban locations.",OPEN — on official BRU website,,"Healthy, Fast Food",https://img.logo.dev/exki.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Exki,Main Terminal,Landside,"Café, Healthy, Belgian",,,,,,Departure Hall,,yes,"Exki is a Belgian healthy fast food chain offering natural, fresh, and organic meals, salads, soups, and snacks, with a strong presence in airports and urban locations.",OPEN — on official BRU website,,"Healthy, Fast Food",https://img.logo.dev/exki.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Beers & Cheers,Main Terminal,Airside,"Bar, Belgian",,,,,,Gates A,,yes,"A Belgian beer bar with a wide selection of Belgian ales, trappist beers, and local brews alongside bar snacks.", sandwiches and aperitivo snacks.,OPEN — on official BRU website,"Bar, European",
Hi! Brussels,Main Terminal,Landside,"Bar, Belgian",,,,,,Arrival Hall,,,"A Brussels-themed quick-service cafe celebrating local Belgian culture through sandwiches, snacks, and coffee.", sandwiches and local beers.,OPEN — on official BRU website,"Bar, Café, European",https://img.logo.dev/hibrusselsairport.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Belle & Belge,Main Terminal,Landside,"Bar, Restaurant, Belgian",,,,,,Departure Hall,,,"A Belgian cafe and bar serving traditional Belgian snacks, pastries, and local beers.", fries, salads and vegan options before security.,"Bar, Café, European",
itsu,Main Terminal,Airside,"Restaurant, Japanese, Sushi",,,,,,Gates B,,,"itsu is a British Japanese food chain offering freshly made sushi, hot dishes, and noodles inspired by Asian cuisine for health-conscious urban diners.", rolls and vegan-friendly options in Gates B.,OPEN — on official BRU website,"Japanese, Asian",https://img.logo.dev/itsu.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Leffe Bar,Main Terminal,Airside,"Bar, Belgian",,,,,,Gates A,,,"An official branded bar for Leffe Belgian abbey ales, serving the full Leffe range on tap alongside Belgian bar snacks.", sandwiches and aperitivos.,OPEN — on official BRU website,"Bar, European",
Black Pearls,Main Terminal,Airside,"Restaurant, Sushi",,,,,,Gates A,,,A coffee and bubble tea bar serving specialty coffee drinks and Asian-style boba teas., nigiri and Asian-inspired dishes.,OPEN — on official BRU website,Café,
Belgorama,Main Terminal,Airside,"Restaurant, Belgian, Fast Food",,,,,,Gates A,,,"A Belgian-themed restaurant showcasing Belgian culinary specialties including waffles, frites, mussels, and local beers.", fries and vegan options celebrating Belgian cuisine.,OPEN — on official BRU website,"Bar, European",
Gullivers Restaurant,Main Terminal,Landside,"Restaurant, Bar",,,,,,Departure Hall,,,A full-service international restaurant serving a broad menu of European and international dishes., pasta, salads and vegan options before security.,International,https://img.logo.dev/gulliversrestaurant.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Grab & Fly,Main Terminal,Airside,"Café, Grab & Go, Sushi",,,,,,Gates A,,yes,"Grab & Fly is an airport food and beverage concept offering ready-to-go meals, snacks, and drinks for passengers on the move.", sandwiches, sushi and smoothies in Gates A.,"Café, Grab & Go",
Brewgate,Main Terminal,Airside,"Bar, Belgian",,,,,,Gates B,,,A craft beer bar serving a rotating selection of Belgian and international craft beers alongside light pub food., sandwiches and aperitivos.,OPEN — on official BRU website,Bar,
Dunkin',Main Terminal,Landside,"Coffee, Bakery",,,,,,Departure Hall,,yes,"Dunkin' is one of the world's largest coffee and baked goods chains, serving freshly brewed coffee, espresso drinks, and a wide variety of donuts and sandwiches.", donuts and vegan options in the departure hall.,OPEN — on official BRU website,"Café, Bakery",https://img.logo.dev/dunkindonuts.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Café Comptoir,Main Terminal,Airside,"Bar, Café",,,,,,Gates A,,,"A classic Belgian cafe serving espresso, pastries, and light savory snacks throughout the day.", sandwiches and drinks.,OPEN — on official BRU website,"Bar, Café, European",https://img.logo.dev/cafecomptoir.fr?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
JAVA Coffee House,Main Terminal,Landside,"Coffee, Café",,,,,,Arrival Hall,,yes,"A specialty coffee house serving a full range of espresso-based drinks, cold brews, and light cafe snacks.",OPEN — on official BRU website,,Café,
Welcome Bar,Main Terminal,Airside,Bar,,,,,,Gates B,,yes,"A welcoming arrivals bar serving Belgian beers, wines, and light snacks to arriving passengers.",OPEN — on official BRU website,,Bar,
Kimbo,Main Terminal,Airside,"Coffee, Café",,,,,,Gates B,,yes,A coffee bar from the Italian Kimbo brand serving authentic Italian espresso and coffee drinks.,OPEN — on official BRU website,,Café,https://img.logo.dev/kimbo.it?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
