name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type,description,logo_url
Di Shui Dong Dumplings,Terminal 2,,Airside,4F,"Chinese, Asian",,,,+886-3-393-1411,,11:00-21:00,,,,,,A Chinese dumpling restaurant serving steamed and pan-fried dumplings with a variety of pork and vegetable fillings.,
Din Tai Fung,Terminal 2,,Airside,4F,"Taiwanese, Chinese, Asian",,,,+886-3-393-2348,,07:00~21:30,,,,,,Din Tai Fung is an internationally acclaimed Taiwanese restaurant chain famous for its meticulously crafted xiao long bao (soup dumplings) and refined noodle dishes.,https://img.logo.dev/dintaifung.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Dome,Terminal 2,,Airside,4F,Café,,,,+886-3-393-1411,,07:00~21:00,,,,,,"An Australian café chain serving all-day breakfasts, sandwiches, pasta, and coffee in a relaxed setting.",
Donburi Kitchen,Terminal 1,,Landside,B1,"Japanese, Asian",,,,+886-3-383-2498,,07:30-20:30,,,,,,"A Japanese-Taiwanese restaurant serving donburi rice bowls with toppings including teriyaki chicken, salmon, and pork katsu.",
Dovecat,Terminal 1,,Airside,3F,"Café, Taiwanese, Asian",,,,+886-3-398-3266,,00:00~24:00,,,,,,"A Taiwanese café serving specialty coffees, desserts, and light café meals in a stylish, cat-themed setting.",
Eslite Spectrum Café,Terminal 2,,Airside,3F,Café,,,,+886-3-393-1411,,06:00~23:00,,,,,,"A café connected to the Eslite Spectrum bookstore-lifestyle space, serving coffee, teas, and light meals.",
FamilyMart,Terminal 1,,Landside,,Grab & Go,,,,+886-3-393-1711,,00:00~24:00,,,,,,"FamilyMart is one of Japan's largest convenience store chains, offering freshly prepared meals, onigiri, pastries, hot foods, and beverages around the clock.",https://img.logo.dev/family.co.jp?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
FORMOSA CHANG,Terminal 2,,Airside,4F,"Taiwanese, Asian",,,,+886-3-393-1411,,10:00~22:00,,,,,,A Taiwanese fast-food chain famous for its lu rou fan — braised minced pork rice — one of Taiwan's most beloved comfort foods.,
Fujian Noodles,Terminal 2,,Airside,4F,"Chinese, Asian",,,,+886-3-393-1411,,09:00~21:00,,,,,,A noodle restaurant serving Fujian-style noodle dishes including oyster vermicelli and red wine lees noodles.,
HA-HA Braised Pork Rice,Terminal 2,,Airside,3F,"Taiwanese, Asian",,,,+886-3-383-3133#611,,06:00~22:00,,,,,,A Taiwanese fast-food chain serving lu rou fan (braised pork rice) and traditional Taiwanese side dishes.,
IKARI Coffee,Terminal 1,,Landside,,Café,,,,+886-3-398-9906,,07:00-21:30,,,,,,"A Taiwanese premium coffee chain serving specialty espresso drinks, pour-overs, and freshly baked pastries.",
JUMBO Seafood,Terminal 2,,Airside,4F,"Chinese, Asian, Seafood",,,,+886-3-393-1411,,11:00-21:00,,,,,,"JUMBO Seafood is a Singaporean seafood restaurant group renowned for its fresh, premium seafood dishes and the iconic chilli crab.",https://img.logo.dev/jumbo-seafood.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Kakurega,Terminal 2,,Airside,3F,"Japanese, Asian, Bar",,,,+886-3-393-1411,,05:00~23:00,,,,,,"A Japanese izakaya-style restaurant serving grilled skewers, sashimi, and Japanese drinking snacks.",https://img.logo.dev/kakurega.tokyo?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Kura Sushi,Terminal 2,,Airside,4F,"Japanese, Asian",,,,+886-3-393-1411,,11:00-21:00,,,,,,"Kura Sushi is a Japanese kaiten-zushi chain offering affordable fresh sushi on a conveyor belt, enhanced by a fun game-reward system and an entertaining dining experience.",https://img.logo.dev/kurasushi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
La Kaffa,Terminal 2,,Airside,4F,Café,,,,+886-3-393-1411,,07:00~23:00,,,,,,"A Taiwanese café chain serving coffee drinks, bubble teas, and light snacks in a casual setting.",https://img.logo.dev/lakaffagroup.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Lawson,Terminal 2,,Landside,B2,Grab & Go,,,,+886-3-393-1411,,00:00~24:00,,,,,,"Lawson is a major Japanese convenience store chain offering a diverse range of freshly prepared meals, pastries, onigiri, and beverages available around the clock.",https://img.logo.dev/lawson.co.jp?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Maeda Coffee,Terminal 1,,Airside,3F,"Café, Japanese",,,,+886-3-398-9906,,06:30-22:00,,,,,,A Japanese coffee shop from Kyoto serving hand-drip coffee and light Japanese sweets in a refined setting.,https://img.logo.dev/maedacoffee.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Mata Tofu Pudding,Terminal 2,,Landside,4F,"Taiwanese, Asian, Desserts",,,,+886-988-261-677,,06:30~22:00,,,,,,A Taiwanese dessert kiosk serving silky tofu pudding in warm or cold versions with brown sugar or ginger syrup.,
Mazuvillage,Terminal 1,,Landside,,"Taiwanese, Asian, Seafood",,,,+886-3-393-2610,,06:00~22:00,,,,,,A Taiwanese seafood restaurant specialising in traditional Mazu Islands-inspired dishes and fresh seafood.,
McDonald's,Terminal 1,,Landside,,Fast Food,,,,+886-3-393-1598,,00:00~24:00,,,,,,"McDonald's is the world's largest fast food chain, serving billions of customers daily with iconic menu items including the Big Mac, McChicken, and golden french fries.",https://img.logo.dev/mcdonalds.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Mi Solo Yakiniku,Terminal 2,,Landside,B2,"Japanese, Asian, Steak, Grill Chicken & BBQ",,,,,,AM11:30~PM9:30,,,,,,A Japanese yakiniku (grilled meat) restaurant serving individual-portion beef sets cooked on small personal tabletop grills.,
MOONMOONFOOD,Terminal 2,,Airside,4F,"Bakery, Taiwanese, Asian",,,,+886-3-393-1411,,06:00~23:00,,,,,,"A Taiwanese dessert and snack concept serving moon-cake inspired sweets, traditional pastries, and seasonal treats.",
Mos Burger,Terminal 1,,Landside,,"Burgers, Japanese, Asian",,,,+886-3-383-4312,,05:30-22:00,,,,,,"Mos Burger is a Japanese fast food chain known for its rice burgers, teriyaki burgers, and Japanese-inspired fresh ingredients, made to order.",https://img.logo.dev/mos.jp?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
PINE KOREAN Restaurant,Terminal 2,,Landside,B2,"Korean, Asian",,,,+886-3-393-1387,,11:00~21:00,,,,,,"A Korean restaurant serving bibimbap, Korean BBQ, sundubu jjigae, and other Korean comfort classics.",
Pizza CreAfe',Terminal 2,,Landside,5F,"Pizza, Café",,,,+886-3-393-2406,,11:00~15:00 16:00~21:00,,,,,,"A café-pizzeria serving thin-crust pizza alongside coffee drinks, sandwiches, and light meals.",
RAMEN IROHA,Terminal 1,,Landside,,"Japanese, Asian",,,,+886-3-383-4387,,07:30-21:30,,,,,,"A Japanese ramen chain from Toyama serving clam-infused, umami-rich Toyama Black ramen with thick, dark soy broth.",
Ramen Makotoya,Terminal 2,,Airside,4F,"Japanese, Asian",,,,+886-3-393-1411,,"11:00~15:00,17:00~21:00",,,,,,A Japanese ramen restaurant serving traditional Hokkaido-style miso ramen with rich broth and classic toppings.,
Sichuan Impression,Terminal 2,,Landside,B2,"Chinese, Asian",,,,+886-3-393-1411,,11:00~21:00,,,,,,"A Sichuan Chinese restaurant serving mapo tofu, dan dan noodles, and bold, numbing-spicy dishes from Chengdu.",https://img.logo.dev/sichuanimpressions.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
STAR HOSEKI,Terminal 2,,Landside,B2,"Taiwanese, Asian, Desserts",,,,+886-3-393-1411,,10:00~20:00,,,,,,"A Taiwanese premium dessert and confectionery shop serving handcrafted sweets, traditional mochi, and seasonal treats.",
Starbucks,Terminal 1,,Landside,,Café,,,,+886-3-393-1411,,05:00~23:00,,,,,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Subway,Terminal 2,,Airside,3F,Sandwiches & Deli,,,,+886-3-393-1411,,06:00~22:00,,,,,,"Subway is the world's largest submarine sandwich chain, offering customisable subs, wraps, and salads made to order on freshly baked bread with a wide choice of toppings.",https://img.logo.dev/subway.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sugar & Spice,Terminal 2,,Airside,3F,"Bakery, Taiwanese, Asian",,,,+886-3-383-3133#612,,06:00~22:00,,,,,,"A Taiwanese bakery and café serving traditional pineapple cakes, egg rolls, and classic Taiwanese pastries.",https://img.logo.dev/sugarspices.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sushiro,Terminal 2,,Landside,B2,"Japanese, Asian",,,,+886-3-393-1411,,11:00-21:00,,,,,,"Sushiro is a Japanese kaiten-zushi (revolving sushi) restaurant chain offering affordable, fresh sushi on a conveyor belt, known for its seasonal specials and creative menu.",https://img.logo.dev/sushiro.co.jp?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
T2 Tea,Terminal 2,,Airside,3F,Café,,,,+886-3-393-1411,,07:00~23:00,,,,,,"An Australian loose-leaf tea brand serving a wide range of blended teas, herbal infusions, and iced tea drinks.",https://img.logo.dev/t2tea.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
THINK CURRY HOUSE,Terminal 2,,Landside,B2,"Asian, Indian & South Asian",,,,+886-3-393-1885,,11:00~19:00,,,,,,A curry restaurant serving Japanese and South Asian curry dishes in a range of heat levels over rice or noodles.,
TKK Fried Chicken x KUNG FU TEA,Terminal 1,,Airside,3F,"Taiwanese, Asian, Steak, Grill Chicken & BBQ",,,,+886-3-398-3266,,06:00~23:00,,,,,,A dual concept combining TKK's Taiwanese popcorn chicken with Kung Fu Tea's bubble teas and milk teas.,
Tofu Hot Pot,Terminal 2,,Airside,4F,"Taiwanese, Asian",,,,+886-3-393-1411,,10:00-23:00,,,,,,A Taiwanese hot pot restaurant specialising in silken tofu-based broths with fresh vegetables and proteins.,
TONKATSU,Terminal 2,,Landside,B2,"Japanese, Asian",,,,+886-3-3833686,,11:00~21:30,,,,,,"A Japanese tonkatsu restaurant serving deep-fried pork cutlets with shredded cabbage, miso soup, and rice.",
VEGE CREEK,Terminal 2,,Airside,3F,"Taiwanese, Asian, Healthy",,,,+886-3-393-1411,,06:00~23:00,,,,,,A vegetarian and vegan Taiwanese restaurant serving plant-based versions of local comfort dishes.,
VWI COFFEE BAR,Terminal 2,,Airside,3F,Café,,,,+886-3-393-1411,,05:00~23:00,,,,,,A coffee bar serving specialty espresso drinks and cold brews alongside light snacks.,
WANG'S BROTH,Terminal 2,,Airside,3F,"Taiwanese, Asian",,,,+886-3-393-1411,,05:00~23:00,,,,,,A Taiwanese soup restaurant serving rich bone broths and traditional Taiwanese braised dishes.,
Wing Café,Terminal 1,,Landside,,Bar,,,,+886-3-393-1411,,00:00~24:00,,,,,,"A casual café and bar serving chicken wings, burgers, and cold beers in a relaxed setting.",
Xi Zai Bian Grilled Meat Rice,Terminal 2,,Landside,B2,"Taiwanese, Asian, Steak, Grill Chicken & BBQ",,,,+886-3-3931675,,11:00~19:00,,,,,,A Taiwanese street-food restaurant serving charcoal-grilled pork and chicken over rice with traditional sauces.,
Xing Fu Tang,Terminal 1,,Airside,3F,"Asian, Café",,,,+886-3-398-3266,,06:00~23:00,,,,,,"Xing Fu Tang is a Taiwanese bubble tea chain famous for its freshly hand-made brown sugar boba, tiger milk tea, and caramelised tapioca pearls cooked in-store.",https://img.logo.dev/xingfutang.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Yi Fong Tang,Terminal 1,,Airside,3F,"Taiwanese, Asian, Desserts",,,,+886-3-398-3266,,06:00~23:00,,,,,,"A Taiwanese dessert shop serving traditional tang yuan (glutinous rice balls), red bean soups, and herbal sweets.",
Yoshinoya,Terminal 1,,Landside,,"Japanese, Asian",,,,+886-3-398-9906,,07:00-21:00,,,,,,"Yoshinoya is a Japanese fast food chain founded in 1899, specialising in gyudon (beef rice bowls) and known as one of the oldest and most iconic gyudon chains in the world.",https://img.logo.dev/yoshinoya.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Yummy Town,Terminal 2,,Airside,3F,"Taiwanese, Asian, Fast Food",,,,+886-3-393-1411,,06:00~23:00,,,,,,"A Taiwanese fast-casual chain serving a broad menu of local dishes including braised meats, rice sets, and noodles.",https://img.logo.dev/yummy-town.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
三商巧福,Terminal 1,,Landside,B1,,,,,+886-3-393-1829,,11:00-21:30,,,,,,,
台北中東料理坊,Terminal 1,,Landside,B1,,,,,+886-3-3833116,,10:30-16:00,,,,,,,
萬芳冰室,Terminal 2,,Airside,4F,,,,,+886-3-383-3133#252,,05:00~22:30,,,,,,,
壱力麵屋本舖,Terminal 1,,Landside,B1,,,,,+886-3-393-1988,,10:00-20:30,,,,,,,
MEBUYTEA,Terminal 2,,Landside,B2,Café,,,,+886-3-383-4693,,11:00~21:00,,,,,,"A Taiwanese bubble tea brand serving fresh-brewed teas, fruit teas, and signature milk teas with toppings.",
COMEME,Terminal 1,,Airside,3F,"Taiwanese, Asian",,,,+886-3-398-3266,,06:00-22:00,,,,,,"A casual restaurant serving Taiwanese and Asian-fusion dishes including rice boxes, noodles, and stir-fries.",
D3 Bar,Terminal 2,,Airside,3F,Bar,,,,+886-3-383-3133#258,,06:00~23:00,,,,,,"A bar in the departure area serving cocktails, wines, and beers with light snacks.",
Gentry Noodle,Terminal 2,,Landside,4F,"Taiwanese, Asian",,,,+886-3-3833353,,06:00-22:00,,,,,,A Taiwanese noodle restaurant serving premium-quality beef noodle soup — Taiwan's national dish — with slow-braised brisket.,
Gontran Cherrier,Terminal 1,,Airside,3F,"Bakery, French, European",,,,+886-3-398-3266,,06:00~20:00,,,,,,"A Parisian bakery by award-winning baker Gontran Cherrier, serving creative croissants, breads, and French-Japanese fusion pastries.",https://img.logo.dev/gontran-cherrier.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Guiji,Terminal 1,,Airside,3F,"Taiwanese, Asian",,,,+886-3-398-3266,,06:00~22:00,,,,,,A Taiwanese restaurant serving traditional Taiwanese dishes with a focus on quality ingredients and classic recipes.,
Hanlin Tea House,Terminal 2,,Airside,4F,"Taiwanese, Asian, Café",,,,+886-3-393-1411,,06:00~22:00,,,,,,"A traditional Taiwanese tea house serving premium oolong teas, bubble teas, and traditional Taiwanese tea snacks.",
Hanlin Tea Room,Terminal 1,,Landside,3F,"Taiwanese, Asian, Café",,,,+886-3-393-1258,,10:00-19:00,,,,,,"A Taiwanese tea room serving classic teas including Alishan oolong, milk teas, and Taiwanese tea culture favourites.",
Hao Hao Chi,Terminal 2,,Airside,3F,"Taiwanese, Asian",,,,+886-3-393-1411,,05:00~23:00,,,,,,"A Taiwanese casual restaurant serving traditional Taiwanese comfort dishes including oyster omelette, braised tofu, and stir-fries.",https://img.logo.dev/haohaochi.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
hómee KITCHEN,Terminal 2,,Airside,4F,"Taiwanese, Asian",,,,+886-3-393-1411,,06:00~22:00,,,,,,"A home-style Taiwanese kitchen serving warm, comforting rice and noodle dishes inspired by family cooking.",
Hómee RICE,Terminal 1,,Airside,3F,"Taiwanese, Asian",,,,+886-3-398-3266,,05:00-23:00,,,,,,"A Taiwanese rice bowl restaurant serving simple, wholesome rice sets with braised meats and Taiwanese side dishes.",
Hong Master Danzai Noodles,Terminal 2,,Landside,B2,"Taiwanese, Asian",,,,,,11:00~20:00,,,,,,A Taiwanese restaurant serving danzai (ta-a) noodles — thin noodles in shrimp broth topped with minced pork and a half egg.,
IJYSHENG,Terminal 1,,Landside,,"Taiwanese, Asian",,,,+886-3-3989292,,06:00-21:00,,,,,,A Taiwanese restaurant serving traditional lu wei — braised offal and vegetable skewers in a spiced brine.,
I-MEI CLASSIC RESTAURANT,Terminal 2,,Landside,B2,"Taiwanese, Asian",,,,+886-3-393-2796,,07:00~21:00,,,,,,"A restaurant by Taiwan's I-Mei Foods brand, serving traditional Taiwanese dishes and classic Chinese comfort food.",
J&G Fried Chicken,Terminal 1,,Landside,,"Taiwanese, Asian, Steak, Grill Chicken & BBQ",,,,+886-3-393-1411,,07:00-23:00,,,,,,"A Taiwanese fried chicken stall serving crispy popcorn chicken, chicken cutlets, and Taiwanese-style fried snacks.",
Jin Xian Platinum Braised Pork Rice,Terminal 1,,Landside,,"Taiwanese, Asian",,,,+886-3-3833133#609,,00:00~24:00,,,,,,A Taiwanese restaurant serving premium lu rou fan — braised pork belly rice — and traditional Taiwanese soups.,
Juice Bear,Terminal 1,,Landside,,Healthy,,,,+886-3-383-3382,,10:00-20:00,,,,,,"A fresh juice kiosk serving tropical and seasonal fruit juices, smoothies, and blended drinks.",https://img.logo.dev/juicebear.ca?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
kafeD,Terminal 2,,Landside,B2,Café,,,,+886-3-3932668,,09:30-20:00,,,,,,"A Taiwanese café serving specialty coffee, cakes, and light meals in a contemporary design space.",https://img.logo.dev/kafedekasa.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Royal-House,Terminal 1,,Landside,,"Taiwanese, Asian, Chinese",,,,+886-3-383-3885,,11:00-21:00,,,,,,A Taiwanese restaurant serving classic Taiwanese and Chinese banquet-style dishes in a traditional setting.,
Second Master & Young Young Bak Kut Teh,Terminal 2,,Landside,4F,"Chinese, Asian",,,,+886-972258993,,11:00~20:00,,,,,,A Malaysian-Taiwanese restaurant serving bak kut teh — pork ribs simmered in a peppery herbal broth — and side dishes.,
Shu Sheep a Bowl of Lamb,Terminal 2,,Landside,B2,"Taiwanese, Asian",,,,,,10:00~20:00,,,,,,"A Taiwanese restaurant specialising in slow-braised lamb dishes, lamb soup, and lamb noodle sets.",
Sky Elephant Thai Restaurant,Terminal 2,,Airside,3F,"Thai, Asian, Pan-Asian",,,,+886-3-383-3133#260,,06:00~22:30,,,,,,"A Thai restaurant serving authentic Thai cuisine including green curry, pad kra pao, and tom yum seafood soup.",
