name,terminal,airside,gate,lat,lon,phone,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Pappadeaux Seafood Kitchen","Terminal A","Airside","Gate A24","32.903879","-97.035885","+1 (972) 615-3508","Restaurant; Bar; Seafood; Pasta; Lobster; Casual Dine-In","Pappadeaux Seafood Kitchen serves up the freshest Louisiana-style seafood and seasonal chef creations.",,,,,,"OPEN — on official DFW Airport website",
"Pappasito's Cantina","Terminal A","Airside","Gate A28","32.903245","-97.036341","+1 (972) 615-3219","Restaurant; Bar; Tex Mex; Fish Tacos; Nachos; Enchiladas; Casual Dine-In","Pappasito's Cantina serves up Tex-Mex dishes and the option to create your own margarita.",,,,,,"OPEN — on official DFW Airport website",
"Plum Market Bar","Terminal A","Airside","Gate A8","32.907025","-97.038864","","Bar; Snack; Chips; Tacos; Chicken; Salads","A unique restaurant and bar with chef-crafted meals for grab-and-go or dining onsite.",,,,,,"OPEN — on official DFW Airport website",
"Popeyes Louisiana Kitchen","Terminal A","Airside","Gate A16","32.906248","-97.036558","","Fried Chicken; Fast Food; Biscuits; Sides","Louisiana-style fried chicken, tenders, biscuits, and classic Southern sides.",,,,,,"OPEN — on official DFW Airport website",
"Smoothie King","Terminal A","Airside","Gate A25","32.903633","-97.035924","","Smoothies; Healthy; Protein","Blended smoothies crafted to fuel your goals — from weight management to sports nutrition.",,,,,,"OPEN — on official DFW Airport website",
"Twisted Root","Terminal A","Airside","Gate A24","32.903683","-97.035863","","Burger; American; Craft Beer; Milkshakes","Creative gourmet burgers with fun, unexpected toppings in a casual Dallas-born setting.",,,,,,"OPEN — on official DFW Airport website",
"Whisk & Bowl","Terminal A","Airside","Gate A14","32.904679","-97.035876","","Kolaches; Breakfast; Coffee; Tea","Texas-style kolaches, breakfast burritos, parfaits, and freshly brewed coffee.",,,,,,"OPEN — on official DFW Airport website",
"Auntie Anne's","Terminal B","Airside","Gate B29","32.906433","-97.044375","+1 (972) 574-2952","Pretzels; Desserts","Freshly baked pretzels and the famous pretzel dog.",,,,,,"OPEN — on official DFW Airport website",
"Cousin's Back Porch","Terminal B","Airside","Gate B47","32.907023","-97.042306","","Barbecue; Pulled Pork; Brisket; Cajun; Casual Dine-In","Texas barbecue and Cajun-inspired sides in a laid-back setting.",,,,,,"OPEN — on official DFW Airport website",
"Cousin's Bar-B-Q","Terminal B","Airside","Gate B43","32.906997","-97.043183","","Barbecue; Pulled Pork; Brisket; Chicken; Casual Dine-In","Authentic Texas barbecue featuring slow-smoked brisket, pulled pork, chicken, and classic sides.",,,,,,"OPEN — on official DFW Airport website",
"Cousin's Bar-B-Q","Terminal B","Airside","Gate B12","32.903043","-97.04448","","Barbecue; Pulled Pork; Brisket; Chicken; Casual Dine-In","Authentic Texas barbecue featuring slow-smoked brisket, pulled pork, chicken, and classic sides.",,,,,,"OPEN — on official DFW Airport website",
"Hickory by Kent Rathbun","Terminal B","Airside","Gate B25","32.905207","-97.045066","","Barbecue; Brisket; Burgers; Breakfast; Ribs","Celebrity chef Kent Rathbun's Texas barbecue concept with burnt ends, brisket, spare ribs, and huevos rancheros.",,,,,,"OPEN — on official DFW Airport website",
"McAlister's Deli","Terminal B","Airside","Gate B40","32.906537","-97.043917","","Deli; Sandwiches; Soup; Tea","Fresh-made deli sandwiches, hearty soups, giant potatoes, and famous sweet tea.",,,,,,"OPEN — on official DFW Airport website",
"Panda Express","Terminal B","Airside","Gate B15","32.903805","-97.04493","","Asian; Chinese; Fried Rice; Orange Chicken; Egg Rolls","America's largest Chinese kitchen, known for Original Orange Chicken, SweetFire Chicken, and fried rice.",,,,,,"OPEN — on official DFW Airport website",
"Smashburger","Terminal B","Airside","Gate B12","32.903078","-97.04458","","Burger; Shakes; Fries","Smashed fresh, served delicious — made-to-order burgers, black bean burgers, Cobb Salad, and milkshakes.",,,,,,"OPEN — on official DFW Airport website",
"Subway","Terminal B","Airside","Gate B24","32.905228","-97.044927","","Sandwich/Deli; Salads; Grab & Go","Fresh made-for-you sandwiches and salads with wholesome ingredients.",,,,,,"OPEN — on official DFW Airport website",
"TGI Fridays","Terminal B","Airside","Gate B9","32.902637","-97.043995","","Burger; Wings; Tex Mex; Sandwiches; Ribs; Salads; Kids Menu","Hearty entrees, Whiskey-Glazed burgers, wings, ribs, and cocktails in a lively atmosphere.",,,,,,"OPEN — on official DFW Airport website",
"The Rodeo Bar","Terminal B","Airside","Gate B32","32.907215","-97.045096","","Bar","Relax for a spell at the Rodeo Bar. Enjoy your favourite cold beverage while waiting for your flight.",,,,,,"OPEN — on official DFW Airport website",
"Wingstop","Terminal B","Airside","Gate B28","32.906005","-97.0445","","Chicken Wings; Fries; American; Casual Dine-In","Wingstop dishes up boneless and classic wings in a range of bold flavours.",,,,,,"OPEN — on official DFW Airport website",
"Auntie Anne's","Terminal C","Airside","Gate C21","32.897126","-97.035707","+1 (972) 973-4796","Pretzels; Desserts","Freshly baked pretzels and the famous pretzel dog.",,,,,,"OPEN — on official DFW Airport website",
"Banh Shop","Terminal C","Airside","Gate C22","32.896971","-97.035819","","Sandwiches; Summer Rolls; Sushi; Teriyaki Bowl; Casual Dine-In","Banh Shop is a diverse collection of baguettes and bowls inspired by street vendors throughout Southeast Asia.",,,,,,"OPEN — on official DFW Airport website",
"Baskin-Robbins","Terminal C","Airside","Gate C17","32.897971","-97.035703","","Ice Cream; Desserts","Cool off with Baskin-Robbins ice cream — over 31 classic and seasonal flavours.",,,,,,"OPEN — on official DFW Airport website",
"Boar's Head Deli","Terminal C","Airside","Gate C35","32.895245","-97.037566","","Sandwich/Deli; Cold Cuts; Fresh","Premium deli sandwiches with Boar's Head brand meats and cheeses, perfect for travellers in a hurry.",,,,,,"OPEN — on official DFW Airport website",
"Chick-fil-A","Terminal C","Airside","Gate C24","32.896799","-97.035841","","Fast Food; Fried Chicken; Biscuits; Fries; Breakfast","Home of the Original Chicken Sandwich, nuggets, waffle fries, and milkshakes.",,,,,,"OPEN — on official DFW Airport website",
"Chili's","Terminal C","Airside","Gate C35","32.895446","-97.037215","","Restaurant; Bar; Tex-Mex; Burger; Salads; Wings","Family-friendly chain serving classic Tex-Mex and American fare — ribs, burgers, fajitas, and signature margaritas.",,,,,,"OPEN — on official DFW Airport website",
"Dickey's Barbecue Pit","Terminal C","Airside","Gate C6","32.899624","-97.037604","","Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In","Since 1941, Dickey's has been smoking the best quality meats — brisket, ribs, pulled pork, chicken, and sausage.",,,,,,"OPEN — on official DFW Airport website",
"Freshens Yogurt & Smoothies","Terminal C","Airside","Gate C35","32.895273","-97.03754","","Smoothies; Frozen Yogurt; Healthy","Fresh smoothies and frozen yogurt with healthy topping options.",,,,,,"OPEN — on official DFW Airport website",
"Maggiano's","Terminal C","Airside","Gate C17","32.898211","-97.035848","","Italian/Pizza; Pasta; Salads; Sandwiches","Classic and contemporary Italian-American recipes — homemade pastas, signature salads, prime steaks, and fresh fish.",,,,,,"OPEN — on official DFW Airport website",
"McDonald's","Terminal C","Airside","Gate C22","32.897136","-97.035837","+1 (972) 574-3288","Fast Food; Burger; Fries; Breakfast; Coffee","McDonald's is known around the globe for their fast food.",,,,,,"OPEN — on official DFW Airport website",
"Pappadeaux Seafood Bar","Terminal C","Airside","Gate C14","32.898928","-97.036009","","Seafood; Restaurant; Bar; Pasta; Lobster; Casual Dine-In","At Pappadeaux Seafood Bar, sip on colorful cocktails and handcrafted cocktails with the finest seafood.",,,,,,"OPEN — on official DFW Airport website",
"Pappadeaux Seafood Kitchen","Terminal C","Airside","Gate C14","32.898703","-97.036077","","Restaurant; Bar; Seafood; Pasta; Lobster; Casual Dine-In","Pappadeaux Seafood Kitchen serves up the freshest Louisiana-style seafood and seasonal creations.",,,,,,"OPEN — on official DFW Airport website",
"Pappasito's Cantina","Terminal C","Airside","Gate C19","32.897678","-97.035753","","Restaurant; Bar; Tex Mex; Fish Tacos; Nachos; Enchiladas; Casual Dine-In","Pappasito's Cantina serves up Tex-Mex dishes and the option to create your own margarita.",,,,,,"OPEN — on official DFW Airport website",
"Pinkberry","Terminal C","Airside","Gate C22","32.896948","-97.03575","","Smoothies; Frozen Yogurt; Desserts","An airport favourite — frozen yogurt with all the toppings.",,,,,,"OPEN — on official DFW Airport website",
"Pizza Hut","Terminal C","Airside","Gate C22","32.896979","-97.035921","","Pizza; Italian; Buffalo Wings; Pasta; Grab & Go","Great pizza, wings, breadsticks, and salads with an adjoining full bar.",,,,,,"OPEN — on official DFW Airport website",
"Shake Shack","Terminal C","Airside","Gate C6","32.899748","-97.037768","","Burger; Hot Dogs; Fries; Milkshake","Handcrafted burgers, hot dogs, fries, and shakes made fresh with premium ingredients.",,,,,,"OPEN — on official DFW Airport website",
"TGI Fridays","Terminal C","Airside","Gate C8","32.899598","-97.037063","+1 (972) 574-2728","American; Restaurant; Bar; Breakfast; Burger; Casual Dine-In","TGI Fridays is a casual dining restaurant and bar known for American-style comfort food, signature cocktails, and lively atmosphere.",,,,,,"OPEN — on official DFW Airport website",
"Whisk & Bowl","Terminal C","Airside","Gate C12","32.899115","-97.03616","","Kolaches; Breakfast; Coffee; Tea","Texas-style kolaches, breakfast burritos, parfaits, and fresh coffee.",,,,,,"OPEN — on official DFW Airport website",
"Applebee's","Terminal D","Airside","Gate D12","32.89592","-97.043893","","American; Restaurant; Bar; Breakfast; Steak; Casual Dine-In","Delicious burgers, steaks, seafood, salads, and sandwiches in a friendly neighbourhood atmosphere.",,,,,,"OPEN — on official DFW Airport website",
"Artisan Market","Terminal D","Airside","Gate D27","32.898906","-97.044694","","Sandwich/Deli; Paninis; Breakfast; Coffee; Grab & Go","Inspired made-to-order sandwiches, salads, and soups crafted with locally sourced ingredients.",,,,,,"OPEN — on official DFW Airport website",
"Auntie Anne's","Terminal D","Airside","Gate D36","32.899261","-97.043425","","Pretzels; Desserts","Freshly baked pretzels and the famous pretzel dog.",,,,,,"OPEN — on official DFW Airport website",
"Banh Shop","Terminal D","Airside","Gate D10","32.89567","-97.043596","","Sandwiches; Summer Rolls; Sushi; Teriyaki Bowl; Casual Dine-In","Baguettes and bowls inspired by vibrant street vendors throughout Southeast Asia.",,,,,,"OPEN — on official DFW Airport website",
"Bar Louie","Terminal D","Airside","Gate D22","32.897093","-97.044785","","Bar; Flatbreads; Wings; Sandwiches; Burgers; Breakfast","From Chicago roots, Bar Louie offers a comfortable place to enjoy drinks, scratch food, and great music.",,,,,,"OPEN — on official DFW Airport website",
"Brewed","Terminal D","Airside","Gate D25","32.898714","-97.044725","","American; Soup; Waffles; Breakfast; Burger; Sandwich","Visit the Locals' living room — great meals in a warm, home-like environment from Fort Worth.",,,,,,"OPEN — on official DFW Airport website",
"Cake Bar","Terminal D","Airside","Gate D2","32.893679","-97.041821","","Cake; Desserts; Red Velvet; German Chocolate; Carrot Cake","Enjoy a slice of cake from the famous Cake Bar in Dallas — red velvet, hummingbird, chocolate, and more.",,,,,,"OPEN — on official DFW Airport website",
"Chick-fil-A","Terminal D","Airside","Gate D18","32.896233","-97.044555","","Chicken; Fast Food; Breakfast; Salads; Kids Menu","Home of the Original Chicken Sandwich, nuggets, waffle fries, milkshakes, and kids meals.",,,,,,"OPEN — on official DFW Airport website",
"CRU Food & Wine Bar","Terminal D","Airside","Gate D27","32.898818","-97.044758","","Wine; Fine Dining; Paninis; Charcuterie; Cheese; Pizza","Unparalleled wine by the glass with stone-fired pizza, charcuterie plates, cheese fondue, and crabcakes.",,,,,,"OPEN — on official DFW Airport website",
"Dickey's Barbecue Pit","Terminal D","Airside","Gate D27","32.898997","-97.044756","","Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In","Slow-smoked Texas barbecue — brisket, ribs, pulled pork, chicken, and sausage with classic sides.",,,,,,"OPEN — on official DFW Airport website",
"Flying Saucer Draught Emporium","Terminal D","Airside","Gate D20","32.896392","-97.044732","+1 (972) 973-4228","Restaurant; Bar; Pub Fare; Fish & Chips; Sandwiches; Salads","A craft beer bar serving Good Beer to Good People since 1995 — fish and chips, shepherd's pie, and pub classics.",,,,,,"OPEN — on official DFW Airport website",
"Hickory","Terminal D","Airside","Gate D22","32.897355","-97.044784","","Barbecue; Bar; Brisket; Burgers; Salad","Texas-style barbecue bar serving smoked brisket, burgers, and a full bar with military discount.",,,,,,"OPEN — on official DFW Airport website",
"McDonald's","Terminal D","Airside","Gate D33","32.899226","-97.04414","","Fast Food; Burger; Fries; Breakfast; Coffee","Classic McDonald's menu for breakfast, lunch, and dinner — Big Macs, Egg McMuffins, Happy Meals, and smoothies.",,,,,,"OPEN — on official DFW Airport website",
"Subway","Terminal D","Airside","Gate D18","32.896278","-97.04476","","Sandwich/Deli; Salads; Grab & Go","Fresh made-to-order submarine sandwiches and salads.",,,,,,"OPEN — on official DFW Airport website",
"The Italian Kitchen by Wolfgang Puck","Terminal D","Airside","Gate D34","32.899085","-97.043899","","Italian/Pizza; Wine; Antipasti; Restaurant; Pasta; Tiramisu","An authentic Italian dining experience by renowned chef Wolfgang Puck — hand-stretched pizzas, pastas, and Italian classics.",,,,,,"OPEN — on official DFW Airport website",
"Trinity Groves Food Lockers","Terminal D","Airside","Gate D1","32.893031","-97.041774","","Burger; Salads; Tacos; Pizza; Grab & Go; Coffee; Cake","One stop shop featuring Holy Crust pizza, AvoEatery, Beto & Son Mexican Food, and The Hall Grill.",,,,,,"OPEN — on official DFW Airport website",
"Trinity Groves Kitchen & Bar","Terminal D","Airside","Gate D2","32.893483","-97.041965","","Restaurant; Bar; Mexican; Pizza; Burger; Breakfast","Great recipes from Beto & Son Mexican, Holy Crust Pizza, The Hall Grill, and AvoEatery, plus great cocktails.",,,,,,"OPEN — on official DFW Airport website",
"TX/MX","Terminal D","Airside","Gate D31","32.899228","-97.044519","","Tex Mex; Tacos; Margaritas; Breakfast; Burrito","The native foreign food — Texas-inspired Tex-Mex tacos, burritos, and margaritas.",,,,,,"OPEN — on official DFW Airport website",
"Whataburger","Terminal D","Airside","Gate D12","32.896027","-97.044383","","Burger; Fast Food; Fries; Milkshake; American","Texas-born burger chain known for made-to-order burgers, crispy fries, and thick shakes.",,,,,,"OPEN — on official DFW Airport website",
"2.0 Taco & Tequila Bar","Terminal E","Airside","Gate E31","32.888557","-97.036384","","Mexican; Bar; Breakfast; Tacos","A vibrant Mexican bar and kitchen serving creative tacos, margaritas, and tequila cocktails.",,,,,,"OPEN — on official DFW Airport website",
"Auntie Anne's","Terminal E","Airside","Gate E5","32.892649","-97.037577","","Pretzels; Desserts","Freshly baked pretzels in a variety of flavours.",,,,,,"OPEN — on official DFW Airport website",
"Chick-fil-A","Terminal E","Airside","Gate E6","32.892538","-97.037576","","Chicken; Fast Food; Breakfast; Salads; Kids Menu","Home of the Original Chicken Sandwich, nuggets, waffle fries, milkshakes, and kids meals.",,,,,,"OPEN — on official DFW Airport website",
"Dickey's Barbecue Pit","Terminal E","Airside","Gate E27","32.887936","-97.03431","","Barbecue; Sandwiches; Breakfast; Ribs; Brisket; Casual Dine-In","Slow-smoked Texas barbecue — brisket, ribs, pulled pork, chicken, and sausage.",,,,,,"OPEN — on official DFW Airport website",
"Drew Pearson's Sports 88","Terminal E","Airside","Gate E5","32.892743","-97.037879","","Bar; Sandwich; Grab & Go; Breakfast; Wings; Salad","Sports bar named after NFL Hall of Famer Drew Pearson, serving wings, nachos, and game-day classics.",,,,,,"OPEN — on official DFW Airport website",
"Einstein Bros. Bagels","Terminal E","Airside","Gate E13","32.891126","-97.035901","","Bagels; Coffee; Pastries; Breakfast","Fresh bagels with signature shmear and specialty coffees for breakfast on the go.",,,,,,"OPEN — on official DFW Airport website",
"Freshii","Terminal E","Airside","Gate E17","32.889601","-97.035723","","Healthy; Salads; Wraps; Bowls; Vegan","Fresh healthy food — salads, wraps, grain bowls, smoothies, and vegan options.",,,,,,"OPEN — on official DFW Airport website",
"Love Shack","Terminal E","Airside","Gate E12","32.89183","-97.036018","","American; Burger; Hot Dog; Chicken; Fries; Milkshake","Celebrity chef Tim Love's casual concept — bold burgers, hot dogs, chicken fingers, and creative sides.",,,,,,"OPEN — on official DFW Airport website",
"Panda Express and Bar","Terminal E","Airside","Gate E33","32.888229","-97.036985","","Asian; Chinese; Fried Rice; Orange Chicken; Bar","Fresh Chinese-American cuisine including Orange Chicken, fried rice, and egg rolls, with a full bar.",,,,,,"OPEN — on official DFW Airport website",
"Sonny Bryan's Smokehouse","Terminal E","Airside","Gate E13","32.891179","-97.035737","","BBQ; Barbecue; Sandwiches","Dallas's legendary barbecue destination — slow-smoked meats and classic sides since 1910.",,,,,,"OPEN — on official DFW Airport website",
"TGI Fridays","Terminal E","Airside","Gate E17","32.889601","-97.035723","+1 (972) 574-2728","American; Restaurant; Bar; Breakfast; Burger; Casual Dine-In","TGI Fridays — casual dining and bar known for American-style comfort food and cocktails.",,,,,,"OPEN — on official DFW Airport website",
"Uno Due Go","Terminal E","Airside","Gate E36","32.88789","-97.038165","","Bar; Pizza; Grab & Go; Breakfast; Italian; Paninis","Italian-inspired quick-service restaurant serving artisan pizzas, paninis, and salads.",,,,,,"OPEN — on official DFW Airport website",
"Wendy's","Terminal E","Airside","Gate E33","32.888109","-97.037","","Burger; Fast Food; Fries; Chicken; American","Fresh never-frozen beef burgers, crispy fries, chicken sandwiches, and signature Frosty desserts.",,,,,,"OPEN — on official DFW Airport website",
"Whataburger","Terminal E","Airside","Gate E27","32.887837","-97.034113","","Burger; Fast Food; Fries; Milkshake; American","Texas-born burger chain known for made-to-order burgers and thick shakes.",,,,,,"OPEN — on official DFW Airport website",
