name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
Bellota-Bellota,Terminal 2E,Airside,"Restaurant, Bar",,,,,,,,,Spanish gastronomy bar specialising in Iberian ham wines and tapas.,OPEN — on official CDG website,
Brioche Dorée,Terminal 2E,Airside,Fast Food,,,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,
Café Eiffel,Terminal 2E,Landside,"Restaurant, Bar",49.0035,2.5769,,,,,,,Elegant brasserie by Michelin-starred chef Michel Rostang with refined French cooking.,OPEN — on official CDG website,9980252623
Eric Kayser,Terminal 2E,Airside,"Bakery, Coffee",,,,,,,,,Renowned Parisian artisan bakery with sourdough breads viennoiseries and sandwiches.,OPEN — on official CDG website,
Exki,Terminal 2E,Airside,"Restaurant, Fast Food",49.0057,2.5748,,,,,,,Belgian healthy fast-casual chain with fresh sandwiches salads and hot dishes.,OPEN — on official CDG website,4563765491
Food & Café,Terminal 2E,Airside,"Cafe, Fast Food",,,,,,,,,Quick casual dining with a variety of hot and cold dishes and beverages.,OPEN — on official CDG website,
I love Paris by Guy Martin,Terminal 2E,Airside,Restaurant,,,,,,,,,Signature restaurant by Michelin-starred chef Guy Martin celebrating the best of French gastronomy.,OPEN — on official CDG website,
Le Bar,Terminal 2E,Airside,Bar,,,,,,,,,Modern cocktail and drinks bar in the T2E departure lounge.,OPEN — on official CDG website,
McDonald's,Terminal 2E,Airside,Fast Food,49.0049,2.5739,,,,,,,Classic burgers fries and breakfast served all day.,OPEN — on official CDG website,6777593930
Miyou,Terminal 2E,Airside,Restaurant,,,,,,,,,Japanese-inspired restaurant with a contemporary menu of sushi bowls and Asian dishes.,OPEN — on official CDG website,
Bellota-Bellota,Terminal 2F,Airside,"Restaurant, Bar",49.0061,2.5789,,,,,,,Spanish gastronomy bar specialising in Iberian ham wines and tapas.,OPEN — on official CDG website,11524320369
Brioche Dorée,Terminal 2F,Airside,Fast Food,49.0038,2.5771,,,,,,,French bakery chain with freshly baked pastries savoury snacks and sandwiches.,OPEN — on official CDG website,9631120572
Byzance Gourmet Food Bar,Terminal 2F,Airside,"Restaurant, Fast Food",,,,,,,,,Mediterranean and Middle Eastern inspired gourmet food bar with mezze and hot dishes.,OPEN — on official CDG website,
Exki,Terminal 2F,Airside,"Restaurant, Fast Food",49.0062,2.5789,,,,,,,Belgian healthy fast-casual chain with fresh sandwiches salads and hot dishes.,OPEN — on official CDG website,6183011608
Ladurée,Terminal 2F,Airside,"Bakery, Cafe",49.0052,2.5765,,,,,,,Iconic Parisian patisserie renowned for macarons and exquisite French pastries.,OPEN — on official CDG website,4568676291
Maison Pradier,Terminal 2F,Airside,"Restaurant, Bakery",49.0051,2.5750,,,,,,,Classic French boulangerie and restaurant with breads pastries and savoury dishes.,OPEN — on official CDG website,4568676590
McDonald's,Terminal 2F,Airside,Fast Food,,,,,,,,,Classic burgers fries and breakfast served all day.,OPEN — on official CDG website,
Paul,Terminal 2F,Airside,"Bakery, Coffee",49.0062,2.5747,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,4568623596
Pret A Manger,Terminal 2F,Airside,"Coffee, Fast Food",49.0022,2.5793,,,,,,,Freshly made sandwiches salads and organic coffee.,OPEN — on official CDG website,10883135894
Starbucks Coffee,Terminal 2F,Airside,Coffee,49.0060,2.5789,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,4563764389
Exki,Terminal 2G,Airside,"Restaurant, Fast Food",,,,,,,,,Belgian healthy fast-casual chain with fresh sandwiches salads and hot dishes.,OPEN — on official CDG website,
Paul,Terminal 2G,Airside,"Bakery, Coffee",,,,,,,,,French artisan bakery with breads pastries sandwiches and coffee.,OPEN — on official CDG website,
Starbucks Coffee,Terminal 2G,Airside,Coffee,49.0053,2.5775,,,,,,,Customised coffee handcrafted beverages sandwiches and snacks.,OPEN — on official CDG website,4568676292
