name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"HANEDA EXCEL HOTEL TOKYU cafe & dining FLYER'S TABLE",Terminal 2,Landside,2F,,,,,,Cafe/Restaurant,,,,,yes,,,OPEN — on official Haneda website,
Hitoshinaya,Terminal 2,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
ISHIYA CAFÉ AIRPORT,Terminal 2,Airside,2F,,,,,,Cafe/Sweets,,,,,yes,,,OPEN — on official Haneda website,
KANGEI Haneda Airport Terminal 2 shop,Terminal 2,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Matakoiya,Terminal 2,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MATAKOIYA Terminal 2 International Wing,Terminal 2,Airside,2F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MITSUMOTO COFFEE SHOP,Terminal 2,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Mugi to Olive,Terminal 2,Airside,2F,,,,,,Japanese/Cafe,,,,,yes,,,OPEN — on official Haneda website,
SCHMATZ Beer Stand,Terminal 2,Airside,2F,,,,,,Beer/German,,,,,yes,,,OPEN — on official Haneda website,
Seaside Cafe #1,Terminal 2,Airside,2F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
Starbucks Coffee,Terminal 2,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
STARBUKS COFFEE Haneda Airport internatinal Terminal2,Terminal 2,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Tully's Coffee,Terminal 2,Airside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
Aloha Taco Company,Terminal 2,Landside,3F,,,,,,Mexican/Hawaiian,,,,,yes,,,OPEN — on official Haneda website,
BEER CAFÉ+,Terminal 2,Landside,3F,,,,,,Bar/Cafe,,,,,yes,,,OPEN — on official Haneda website,
Cafe Lounge Gate 53,Terminal 2,Airside,3F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
China Town Deli,Terminal 2,Landside,3F,,,,,,Chinese,,,,,yes,,,OPEN — on official Haneda website,
Gansozushi HANEDA AIRPORT Terminal 2 Store,Terminal 2,Landside,3F,,,,,,Sushi,,,,,,,,OPEN — on official Haneda website,
GGG CAFÉ,Terminal 2,Landside,3F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
Ginza Kiya,Terminal 2,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Grilled meat rice bowl shop TOKYO KARUBI,Terminal 2,Landside,3F,,,,,,Japanese/Beef,,,,,yes,,,OPEN — on official Haneda website,
JIYUGAOKA BURGER,Terminal 2,Landside,3F,,,,,,Burgers,,,,,yes,,,OPEN — on official Haneda website,
Komeraku,Terminal 2,Landside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
Miss Korea,Terminal 2,Landside,3F,,,,,,Korean,,,,,,,,OPEN — on official Haneda website,
Mrs Istanbul,Terminal 2,Landside,3F,,,,,,Turkish,,,,,yes,,yes,OPEN — on official Haneda website,
RAMEN TORIDASHIYA,Terminal 2,Landside,3F,,,,,,Ramen,,,,,yes,,,OPEN — on official Haneda website,
Sanuki Udon Hannyarin,Terminal 2,Landside,3F,,,,,,Udon/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Tempura Soba Monzaemon,Terminal 2,Landside,3F,,,,,,Tempura/Soba,,,,,,,,OPEN — on official Haneda website,
World Wine Bar by Pieroth,Terminal 2,Landside,3F,,,,,,Bar/Wine,,,,,yes,,,OPEN — on official Haneda website,
Airport Grill & Bar,Terminal 2,Landside,4F,,,,,,Grill/Bar,,,,,yes,,,OPEN — on official Haneda website,
cuud,Terminal 2,Landside,4F,,,,,,Cafe,,,,,,,,OPEN — on official Haneda website,
DONSABATINI,Terminal 2,Landside,4F,,,,,,Italian,,,,,yes,,,OPEN — on official Haneda website,
NANGOKUSYUKA,Terminal 2,Landside,4F,,,,,,Chinese,,,,,,,,OPEN — on official Haneda website,
NUMAZU UOGASHIZUSHI,Terminal 2,Landside,4F,,,,,,Sushi/Seafood,,,,,,,,OPEN — on official Haneda website,
SHINJUKU ACACIA,Terminal 2,Landside,4F,,,,,,Western/Japanese,,,,,,,,OPEN — on official Haneda website,
STARBUCKS COFFEE,Terminal 2,Landside,4F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
TONKATSU WAKO,Terminal 2,Landside,4F,,,,,,Tonkatsu/Japanese,,,,,,,,OPEN — on official Haneda website,
Amici del te,Terminal 2,Landside,5F,,,,,,Italian/Cafe,,,,,yes,,,OPEN — on official Haneda website,
CASTELMOLA,Terminal 2,Landside,5F,,,,,,Italian,,,,,yes,,,OPEN — on official Haneda website,
HUB Haneda Airport Terminal 2,Terminal 2,Landside,5F,,,,,,Bar/British,,,,,yes,,,OPEN — on official Haneda website,
KURO CHO BEI,Terminal 2,Landside,5F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MANJIDOU,Terminal 2,Landside,5F,,,,,,Japanese Sweets/Cafe,,,,,yes,,,OPEN — on official Haneda website,
Ozashiki Tempura Tenmasa,Terminal 2,Landside,5F,,,,,,Tempura/Japanese,,,,,,,,OPEN — on official Haneda website,
Soba Kappo AZUMINO,Terminal 2,Landside,5F,,,,,,Soba/Japanese,,,,,,,,OPEN — on official Haneda website,
"Beef tongue barbecue shop ARA / Sashimi rice bowl shop YAKICHI",Terminal 2,Landside,B1F,,,,,,Japanese/BBQ,,,,,,,,OPEN — on official Haneda website,
Krispy Kreme Doughnuts,Terminal 2,Landside,B1F,,,,,,Donuts/Cafe,,,,,yes,,,OPEN — on official Haneda website,
MARUGAMESEIMEN,Terminal 2,Landside,B1F,,,,,,Udon/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Tachigui Soba Sakedokoro TSUKIJITEI,Terminal 2,Landside,B1F,,,,,,Soba/Japanese,,,,,yes,,,OPEN — on official Haneda website,
TULLY'S COFFEE,Terminal 3,Landside,2F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
(Vending Machine) Haneda Airport Original Matcha Baumkuchen (Near Gate 109) [Halal-Certified],Terminal 3,Airside,3F,,,,,,Snack/Vending,,,,,yes,,yes,OPEN — on official Haneda website,
Bar Rage,Terminal 3,Airside,3F,,,,,,Bar,,,,,,,,OPEN — on official Haneda website,
CAFE 108,Terminal 3,Airside,3F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
CAFÉ&BOOKS,Terminal 3,Airside,3F,,,,,,Cafe/Books,,,,,yes,,,OPEN — on official Haneda website,
Caffé 146,Terminal 3,Airside,3F,,,,,,Cafe/Italian,,,,,yes,,,OPEN — on official Haneda website,
CHAYA VEGAN FRIENDLY TOKYO,Terminal 3,Airside,3F,,,,,,Vegan/Japanese,,,,,yes,yes,yes,OPEN — on official Haneda website,
Curacion Cafe,Terminal 3,Airside,3F,,,,,,Cafe,,,,,yes,yes,,OPEN — on official Haneda website,
HOKKAIDO KITCHEN,Terminal 3,Airside,3F,,,,,,Japanese/Hokkaido,,,,,,,,OPEN — on official Haneda website,
JINROKU Anti,Terminal 3,Airside,3F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MEAT STARS 29,Terminal 3,Airside,3F,,,,,,Yakiniku/BBQ,,,,,,,,OPEN — on official Haneda website,
Rokurinsha,Terminal 3,Airside,3F,,,,,,Ramen,,,,,,,,OPEN — on official Haneda website,
Tailwind,Terminal 3,Landside,3F,,,,,,Cafe/Bar,,,,,yes,,,OPEN — on official Haneda website,
Tempura Sakitei,Terminal 3,Airside,3F,,,,,,Tempura/Japanese,,,,,,,,OPEN — on official Haneda website,
UOGASHI NIHON-ICHI,Terminal 3,Airside,3F,,,,,,Sushi/Seafood,,,,,,,,OPEN — on official Haneda website,
AGRO@fruit parlor,Terminal 3,Landside,4F,,,,,,Fruit Parlor/Cafe,,,,,yes,yes,yes,OPEN — on official Haneda website,
ARISO SUSHI,Terminal 3,Landside,4F,,,,,,Sushi,,,,,,,,OPEN — on official Haneda website,
ARISO SUSHI,Terminal 3,Landside,4F,,,,,,Sushi,,,,,,,,OPEN — on official Haneda website,
Bon Vivant + e,Terminal 3,Landside,4F,,,,,,French/Cafe,,,,,yes,,,OPEN — on official Haneda website,
CAFE CARDINAL,Terminal 3,Landside,4F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
"CHAMPION Yakiniku (Grilled Meat)",Terminal 3,Landside,4F,,,,,,Yakiniku/BBQ,,,,,,,,OPEN — on official Haneda website,
"GINZA OGURA (Oden/Dashi-chazuke)",Terminal 3,Landside,4F,,,,,,Japanese/Oden,,,,,,,,OPEN — on official Haneda website,
GINZA TEN-ICHI (Tempura),Terminal 3,Landside,4F,,,,,,Tempura/Japanese,,,,,,,,OPEN — on official Haneda website,
Honolu Premier Air HANEDA,Terminal 3,Landside,4F,,,,,,Hawaiian,,,,,,,,OPEN — on official Haneda website,
Hyakuzen,Terminal 3,Landside,4F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
KATSUSEN Tonkatsu (Fried Pork Cutlet),Terminal 3,Landside,4F,,,,,,Tonkatsu/Japanese,,,,,,,,OPEN — on official Haneda website,
Kebab Stand (Take-away Only),Terminal 3,Landside,4F,,,,,,Kebab/Turkish,,,,,yes,yes,,OPEN — on official Haneda website,
Machiya,Terminal 3,Landside,4F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
MOS BURGER & CAFE,Terminal 3,Landside,4F,,,,,,Burgers/Fast Food,,,,,yes,,,OPEN — on official Haneda website,
NANRINKA,Terminal 3,Landside,4F,,,,,,Chinese,,,,,,,,OPEN — on official Haneda website,
NINGYOCHO IMAHAN,Terminal 3,Landside,4F,,,,,,Japanese/Sukiyaki,,,,,,,,OPEN — on official Haneda website,
Onigiri Konga,Terminal 3,Landside,4F,,,,,,Onigiri/Japanese,,,,,yes,yes,,OPEN — on official Haneda website,
PORT-SIDE KITCHEN by Gril Mantenboshi,Terminal 3,Landside,4F,,,,,,Grill/Western,,,,,,,,OPEN — on official Haneda website,
saryo ITOEN,Terminal 3,Landside,4F,,,,,,Japanese Tea/Cafe,,,,,yes,yes,yes,OPEN — on official Haneda website,
SETAGAYA (Ramen),Terminal 3,Landside,4F,,,,,,Ramen,,,,,yes,,,OPEN — on official Haneda website,
SPAGHETTERIA VAVnova,Terminal 3,Landside,4F,,,,,,Italian/Pasta,,,,,yes,,,OPEN — on official Haneda website,
Suginoko,Terminal 3,Landside,4F,,,,,,Japanese,,,,,,,,OPEN — on official Haneda website,
TSURUTONTAN (Udon Noodles),Terminal 3,Landside,4F,,,,,,Udon/Noodles,,,,,yes,,,OPEN — on official Haneda website,
Yakitori Soba Nishakugosun,Terminal 3,Landside,4F,,,,,,Yakitori/Soba,,,,,,,,OPEN — on official Haneda website,
Yoshinoya,Terminal 3,Landside,4F,,,,,,Fast Food/Japanese,,,,,yes,,,OPEN — on official Haneda website,
EXPASA Cafe HANEDA,Terminal 3,Landside,5F,,,,,,Cafe,,,,,yes,,,OPEN — on official Haneda website,
PLANETARIUM Starry Cafe,Terminal 3,Landside,5F,,,,,,Cafe,,,,,,,,OPEN — on official Haneda website,
PRONTO,Terminal 3,Landside,5F,,,,,,Cafe/Coffee,,,,,yes,,,OPEN — on official Haneda website,
